frame,health,gt_x,gt_y,est_x,est_y,est_z,slam_dx,slam_dy
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0,0.0,3.05e-05,-0.000104
2,1,0.0,0.0,0.0,0.0,0.0,-0.0001951,-0.0001302
3,1,0.0,0.0,0.0,0.0,0.0,-1.7e-06,-8.53e-05
4,1,0.0,0.0,0.0,0.0,0.0,6.6e-06,0.0001127
5,1,0.0,0.0,0.0,0.0,0.0,3.69e-05,-9.59e-05
6,1,0.2261,0.35127,0.2261,0.35127,0.0,0.0077754,0.0089713
7,1,0.45163,0.69898,0.45163,0.69898,0.0,0.0077208,0.0089062
8,1,0.67602,1.03965,0.67602,1.03965,0.0,0.0077447,0.0087892
9,1,0.8987,1.36981,0.8987,1.36981,0.0,0.0075621,0.0083747
10,1,1.1191,1.68614,1.1191,1.68614,0.0,0.0074824,0.0079897
11,1,1.33669,1.98544,1.33669,1.98544,0.0,0.0074205,0.0076575
12,1,1.55089,2.2647,1.55089,2.2647,0.0,0.0071829,0.0070712
13,1,1.76118,2.52108,1.76118,2.52108,0.0,0.0070372,0.0064247
14,1,1.96702,2.75201,1.96702,2.75201,0.0,0.0065963,0.0056831
15,1,2.16789,2.95515,2.16789,2.95515,0.0,0.0064633,0.0050985
16,1,2.36329,3.12845,2.36329,3.12845,0.0,0.0060492,0.0040929
17,1,2.55271,3.27015,2.55271,3.27015,0.0,0.0059939,0.0033353
18,1,2.73569,3.37884,2.73569,3.37884,0.0,0.0056946,0.002328
19,1,2.91175,3.4534,2.91175,3.4534,0.0,0.0051861,0.0014595
20,1,3.08046,3.49309,3.08046,3.49309,0.0,0.0048887,0.0004679
21,1,3.24139,3.49751,3.24139,3.49751,0.0,0.0046163,-0.0005812
22,1,3.39413,3.46662,3.39413,3.46662,0.0,0.0040789,-0.0014329
23,1,3.5383,3.40071,3.5383,3.40071,0.0,0.0038652,-0.0023933
24,1,3.67353,3.30047,3.67353,3.30047,0.0,0.0033845,-0.0033825
25,1,3.79948,3.16689,3.79948,3.16689,0.0,0.0029003,-0.0043801
26,1,3.91583,3.00134,3.91583,3.00134,0.0,0.0025957,-0.0050165
27,1,4.02229,2.80548,4.02229,2.80548,0.0,0.0021395,-0.0059855
28,1,4.11859,2.5813,4.11859,2.5813,0.0,0.0019174,-0.0068986
29,1,4.20448,2.33104,4.20448,2.33104,0.0,0.0013758,-0.0075669
30,1,4.27975,2.05725,4.27254,2.04736,0.0,0.0010651,-0.0080438
31,1,4.34422,1.76268,4.33399,1.75424,0.0,0.0005503,-0.008572
32,1,4.39771,1.45032,4.39085,1.44484,0.0,0.0003556,-0.0090155
33,1,4.44009,1.1233,4.43205,1.11562,0.0,-0.0001654,-0.0095142
34,1,4.47125,0.78495,4.46607,0.77811,0.0,-0.000401,-0.0097199
35,1,4.49112,0.43867,4.48718,0.43625,0.0,-0.0007822,-0.0097909
36,1,4.49965,0.08796,4.49809,0.0836,0.0,-0.0011133,-0.0100555
37,1,4.4968,-0.26364,4.49306,-0.26862,0.0,-0.0015602,-0.0099782
38,1,4.4826,-0.61258,4.4829,-0.61534,0.0,-0.0016828,-0.0098011
39,1,4.45708,-0.95533,4.45215,-0.95947,0.0,-0.0022526,-0.0096435
40,1,4.42029,-1.28844,4.41563,-1.28814,0.0,-0.0023526,-0.009181
41,1,4.37234,-1.60853,4.36499,-1.61032,0.0,-0.0027244,-0.008939
42,1,4.31335,-1.91238,4.30957,-1.91604,0.0,-0.0027928,-0.0084524
43,1,4.24346,-2.19692,4.23926,-2.2001,0.0,-0.0031251,-0.0077764
44,1,4.16285,-2.45927,4.15769,-2.46634,0.0,-0.0033705,-0.0072248
45,1,4.07172,-2.6968,4.07195,-2.70207,0.0,-0.0033649,-0.0063417
46,1,3.97031,-2.90709,3.97486,-2.91062,0.0,-0.0035752,-0.0055237
47,1,3.85887,-3.08802,3.864,-3.08593,0.0,-0.0038295,-0.0045236
48,1,3.73768,-3.23777,3.73704,-3.23066,0.0,-0.0041596,-0.0035901
49,1,3.60705,-3.35483,3.604,-3.34306,0.0,-0.0042008,-0.0026471
50,1,3.46731,-3.438,3.46202,-3.42662,0.0,-0.0042202,-0.0018374
51,1,3.31881,-3.48647,3.31355,-3.47075,0.0,-0.0043605,-0.0006394
52,1,3.16193,-3.49972,3.14904,-3.48611,0.0,-0.0046973,0.0002428
53,1,2.99705,-3.47764,2.98078,-3.46665,0.0,-0.0046639,0.0012458
54,1,2.82461,-3.42044,2.80808,-3.41219,0.0,-0.0046488,0.0022567
55,1,2.64503,-3.3287,2.62908,-3.31683,0.0,-0.0046624,0.0034428
56,1,2.45878,-3.20334,2.44127,-3.19216,0.0,-0.0047937,0.0043105
57,1,2.2663,-3.04564,2.24838,-3.03503,0.0,-0.004807,0.0052519
58,1,2.06811,-2.85719,2.04657,-2.84962,0.0,-0.004945,0.0060908
59,1,1.86469,-2.63988,1.84286,-2.62971,0.0,-0.0048605,0.0070771
60,1,1.65656,-2.39592,1.6265,-2.38921,0.0,-0.0051345,0.0077134
61,1,1.44425,-2.12776,1.41029,-2.12375,0.0,-0.0050304,0.0084203
62,1,1.22828,-1.83811,1.20146,-1.83936,0.0,-0.0047468,0.0089271
63,1,1.00922,-1.52991,0.99218,-1.53573,0.0,-0.0046825,0.0094745
64,1,0.7876,-1.20625,0.77615,-1.21665,0.0,-0.0048106,0.0099407
65,1,0.564,-0.87042,0.55335,-0.88405,0.0,-0.0049478,0.0103518
66,1,0.33897,-0.52579,0.32672,-0.54263,0.0,-0.00502,0.0106181
67,1,0.11309,-0.17586,0.10106,-0.19109,0.0,-0.0049523,0.0109008
68,1,-0.11309,0.17586,-0.12588,0.1585,0.0,-0.0049962,0.0108508
69,1,-0.33897,0.52579,-0.35398,0.51349,0.0,-0.0050073,0.0110089
70,1,-0.564,0.87042,-0.58198,0.85177,0.0,-0.0050712,0.0105345
71,1,-0.7876,1.20625,-0.80392,1.17974,0.0,-0.0049418,0.0102172
72,1,-1.00922,1.52991,-1.03004,1.49915,0.0,-0.0050939,0.0099914
73,1,-1.22828,1.83811,-1.25096,1.80485,0.0,-0.0050021,0.0095811
74,1,-1.44425,2.12776,-1.46141,2.08443,0.0,-0.0048118,0.0087974
75,1,-1.65656,2.39592,-1.67344,2.34958,0.0,-0.0049138,0.0083947
76,1,-1.86469,2.63988,-1.87557,2.58732,0.0,-0.0047446,0.0075763
77,0,-2.06811,2.85719,-2.07948,2.79933,0.0,-0.004898,0.0068539
78,0,-2.2663,3.04564,-2.27718,2.99251,0.0,-0.0047982,0.0062941
79,0,-2.45878,3.20334,-2.46446,3.15111,0.0,-0.0046429,0.0052707
80,0,-2.64503,3.3287,-2.65075,3.27267,0.0,-0.0047632,0.0042157
81,0,-2.82461,3.42044,-2.82809,3.36295,0.0,-0.004636,0.0032918
82,0,-2.99705,3.47764,-2.99523,3.42246,0.0,-0.004472,0.0023771
83,0,-3.16193,3.49972,-3.16439,3.44121,0.0,-0.0046917,0.0012296
84,0,-3.31881,3.48647,-3.32369,3.42318,0.0,-0.0045613,0.0001454
85,0,-3.46731,3.438,-3.47507,3.37478,0.0,-0.0044595,-0.0007485
86,0,-3.60705,3.35483,-3.62333,3.29093,0.0,-0.0045135,-0.0017666
87,0,-3.73768,3.23777,-3.74772,3.16714,0.0,-0.0040008,-0.0029978
88,0,-3.85887,3.08802,-3.87542,3.02143,0.0,-0.0041818,-0.0036061
89,1,-3.97031,2.90709,-3.98945,2.84286,0.0,-0.0039278,-0.0045943
90,0,-4.07172,2.6968,-4.09044,2.63355,0.0,-0.0036835,-0.0055198
91,0,-4.16285,2.45927,-4.18237,2.3973,0.0,-0.0035362,-0.0063214
92,0,-4.24346,2.19692,-4.2643,2.14014,0.0,-0.0033377,-0.0069557
