frame,health,gt_x,gt_y,est_x,est_y,est_z,slam_dx,slam_dy
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0,0.0,-6.47e-05,7.24e-05
2,1,0.0,0.0,0.0,0.0,0.0,3.2e-06,8e-06
3,1,0.0,0.0,0.0,0.0,0.0,4.81e-05,-8e-07
4,1,0.0,0.0,0.0,0.0,0.0,3.07e-05,-3.6e-06
5,1,0.0,0.0,0.0,0.0,0.0,-1.5e-05,0.0001877
6,1,0.2261,0.35127,0.2261,0.35127,0.0,0.0001702,-0.0001641
7,1,0.45163,0.69898,0.45163,0.69898,0.0,1.38e-05,-5.9e-06
8,1,0.67602,1.03965,0.67602,1.03965,0.0,4.73e-05,-5.55e-05
9,1,0.8987,1.36981,0.8987,1.36981,0.0,4.43e-05,-6.45e-05
10,1,1.1191,1.68614,1.1191,1.68614,0.0,3.35e-05,-6.11e-05
11,1,1.33669,1.98544,1.33669,1.98544,0.0,4.13e-05,-7.79e-05
12,1,1.55089,2.2647,1.55089,2.2647,0.0,3.72e-05,-8.53e-05
13,1,1.76118,2.52108,1.76118,2.52108,0.0,3.86e-05,-9.4e-05
14,1,1.96702,2.75201,1.96702,2.75201,0.0,4.04e-05,-0.0001048
15,1,2.16789,2.95515,2.16789,2.95515,0.0,3.96e-05,-0.0001089
16,1,2.36329,3.12845,2.36329,3.12845,0.0,4.13e-05,-0.0001076
17,1,2.55271,3.27015,2.55271,3.27015,0.0,4.97e-05,-0.0001066
18,1,2.73569,3.37884,2.73569,3.37884,0.0,4.81e-05,-0.0001039
19,1,2.91175,3.4534,2.91175,3.4534,0.0,5.13e-05,-0.0001213
20,1,3.08046,3.49309,3.08046,3.49309,0.0,5.94e-05,-0.0001191
21,1,3.24139,3.49751,3.24139,3.49751,0.0,6.11e-05,-0.0001229
22,1,3.39413,3.46662,3.39413,3.46662,0.0,5.62e-05,-0.0001159
23,1,3.5383,3.40071,3.5383,3.40071,0.0,4.41e-05,-9.57e-05
24,1,3.67353,3.30047,3.67353,3.30047,0.0,4.61e-05,-6.68e-05
25,1,3.79948,3.16689,3.79948,3.16689,0.0,3.38e-05,-5.32e-05
26,1,3.91583,3.00134,3.91583,3.00134,0.0,3.98e-05,-2.97e-05
27,1,4.02229,2.80548,4.02229,2.80548,0.0,2.42e-05,-2.28e-05
28,1,4.11859,2.5813,4.11859,2.5813,0.0,1.4e-05,-4.06e-05
29,1,4.20448,2.33104,4.20448,2.33104,0.0,-8.1e-06,-5.1e-05
30,1,4.27975,2.05725,3.17254,2.46829,0.0,-1.69e-05,-3.23e-05
31,1,4.34422,1.76268,3.23838,2.47307,0.0,-2e-06,-3.61e-05
32,1,4.39771,1.45032,3.29152,2.49248,0.0,6.4e-06,-2.92e-05
33,1,4.44009,1.1233,3.37162,2.56098,0.0,2.97e-05,-4.42e-05
34,1,4.47125,0.78495,3.50831,2.63568,0.0,2.91e-05,-7.52e-05
35,1,4.49112,0.43867,3.60653,2.68463,0.0,1.85e-05,-5.4e-05
36,1,4.49965,0.08796,3.69414,2.805,0.0,5.58e-05,-4.85e-05
37,1,4.4968,-0.26364,3.7523,2.90515,0.0,4.74e-05,-3.23e-05
38,1,4.4826,-0.61258,3.81627,2.92358,0.0,5.2e-06,-3.51e-05
39,1,4.45708,-0.95533,3.75433,2.83991,0.0,-3.87e-05,3.43e-05
40,1,4.42029,-1.28844,3.56131,2.57075,0.0,-0.000125,0.0001068
41,1,4.37234,-1.60853,2.93648,2.14493,0.0,-0.0001764,0.000344
42,1,4.31335,-1.91238,2.61757,1.87477,0.0,-0.0001171,0.0001758
43,1,4.24346,-2.19692,2.36638,1.66632,0.0,-9e-05,0.0001384
44,1,4.16285,-2.45927,2.22435,1.53887,0.0,-5.58e-05,7.83e-05
45,1,4.07172,-2.6968,2.10585,1.45898,0.0,-3.3e-05,6.52e-05
46,1,3.97031,-2.90709,1.9586,1.32621,0.0,-5.82e-05,8.12e-05
47,1,3.85887,-3.08802,1.90431,1.13897,0.0,-9.23e-05,3.05e-05
48,1,3.73768,-3.23777,2.04333,0.80988,0.0,-0.000178,-7.48e-05
49,1,3.60705,-3.35483,2.18095,0.72046,0.0,-5.5e-05,-7.5e-05
50,1,3.46731,-3.438,2.3071,0.76915,0.0,1.65e-05,-6.93e-05
51,1,3.31881,-3.48647,2.2877,0.70176,0.0,-3.32e-05,1.09e-05
52,1,3.16193,-3.49972,2.35976,0.65171,0.0,-3.05e-05,-3.93e-05
53,1,2.99705,-3.47764,2.44922,0.53778,0.0,-6.44e-05,-4.85e-05
54,1,2.82461,-3.42044,2.5305,0.45573,0.0,-4.75e-05,-4.42e-05
55,1,2.64503,-3.3287,2.53734,0.37849,0.0,-4.01e-05,-3.4e-06
56,1,2.45878,-3.20334,2.49016,0.34661,0.0,-1.32e-05,2.6e-05
57,1,2.2663,-3.04564,2.40703,0.29157,0.0,-2.26e-05,4.58e-05
58,1,2.06811,-2.85719,2.2698,0.25429,0.0,-9.9e-06,7.53e-05
59,1,1.86469,-2.63988,2.20593,0.23186,0.0,-7.2e-06,3.51e-05
60,1,1.65656,-2.39592,2.10463,0.14519,0.0,-3.76e-05,5.58e-05
61,1,1.44425,-2.12776,2.0085,0.03711,0.0,-4.9e-05,5.31e-05
62,1,1.22828,-1.83811,1.94475,-0.05385,0.0,-4.24e-05,3.53e-05
63,1,1.00922,-1.52991,1.93638,-0.20769,0.0,-7.83e-05,5.2e-06
64,1,0.7876,-1.20625,1.93399,-0.44298,0.0,-0.0001204,2.3e-06
65,1,0.564,-0.87042,1.89733,-0.61997,0.0,-8.83e-05,2.08e-05
66,1,0.33897,-0.52579,1.76152,-0.725,0.0,-4.47e-05,7.48e-05
67,1,0.11309,-0.17586,1.63623,-0.84705,0.0,-5.42e-05,6.91e-05
68,1,-0.11309,0.17586,1.51307,-0.79359,0.0,3.57e-05,6.72e-05
69,1,-0.33897,0.52579,1.43518,-0.72366,0.0,4.11e-05,4.24e-05
70,1,-0.564,0.87042,1.45725,-0.58191,0.0,7.12e-05,-1.27e-05
71,1,-0.7876,1.20625,1.52503,-0.47376,0.0,5.09e-05,-3.76e-05
72,1,-1.00922,1.52991,1.74743,-0.257,0.0,9.62e-05,-0.0001227
73,1,-1.22828,1.83811,1.93319,-0.14894,0.0,4.29e-05,-0.0001022
74,1,-1.44425,2.12776,2.05016,-0.13787,0.0,-2.2e-06,-6.41e-05
75,1,-1.65656,2.39592,2.13937,-0.13193,0.0,-2.9e-06,-4.89e-05
76,1,-1.86469,2.63988,2.12616,-0.14263,0.0,-4.6e-06,7.3e-06
77,0,-2.06811,2.85719,2.08084,-0.25199,0.0,-5.3e-05,2.53e-05
78,0,-2.2663,3.04564,2.41036,0.12236,0.0,0.0001698,-0.000182
79,0,-2.45878,3.20334,2.62731,0.22551,0.0,3.83e-05,-0.0001193
80,0,-2.64503,3.3287,3.01157,0.32921,0.0,2.74e-05,-0.0002109
81,0,-2.82461,3.42044,3.51907,0.68837,0.0,0.0001501,-0.0002794
82,0,-2.99705,3.47764,3.79193,0.65858,0.0,-3.35e-05,-0.0001493
83,0,-3.16193,3.49972,3.65369,0.20698,0.0,-0.0002222,7.75e-05
84,0,-3.31881,3.48647,3.37965,-0.40213,0.0,-0.0002939,0.0001526
85,0,-3.46731,3.438,2.76768,-1.31959,0.0,-0.0004293,0.0003389
86,0,-3.60705,3.35483,3.07266,-1.30561,0.0,-1.33e-05,-0.0001671
87,0,-3.73768,3.23777,3.86563,-0.64387,0.0,0.0002861,-0.000437
88,0,-3.85887,3.08802,4.95956,0.22034,0.0,0.0003697,-0.0006027
89,1,-3.97031,2.90709,5.03118,0.36782,0.0,7.08e-05,-3.98e-05
90,0,-4.07172,2.6968,5.1646,0.61654,0.0,0.0001186,-7.41e-05
91,0,-4.16285,2.45927,5.31989,0.85591,0.0,0.0001123,-8.6e-05
92,0,-4.24346,2.19692,5.22958,0.85821,0.0,7.2e-06,4.95e-05
93,0,-4.31335,1.91238,5.22095,0.91403,0.0,2.92e-05,4.5e-06
94,0,-4.37234,1.60853,5.26326,1.11891,0.0,0.0001022,-2.4e-05
95,0,-4.42029,1.28844,6.53041,1.88853,0.0,0.0003096,-0.0006972
96,0,-4.45708,0.95533,8.63951,3.23291,0.0,0.0005478,-0.0011607
97,0,-4.4826,0.61258,11.06125,4.85527,0.0,0.0006694,-0.0013331
98,0,-4.4968,0.26364,13.15205,6.41778,0.0,0.0006609,-0.0011515
99,0,-4.49965,-0.08796,13.32818,6.71539,0.0,0.0001407,-9.77e-05
100,0,-4.49112,-0.43867,13.16452,6.72777,0.0,1.73e-05,8.96e-05
101,0,-4.47125,-0.78495,12.87624,6.66406,0.0,-1.33e-05,0.0001582
102,0,-4.44009,-1.1233,12.30071,6.37082,0.0,-0.0001118,0.0003164
103,0,-4.39771,-1.45032,12.21972,6.26585,0.0,-4.84e-05,4.48e-05
104,0,-4.34422,-1.76268,12.79587,6.50774,0.0,8.54e-05,-0.0003166
105,0,-4.27975,-2.05725,12.7927,6.35114,0.0,-8.01e-05,2.4e-06
106,0,-4.20448,-2.33104,12.61372,6.14086,0.0,-9.58e-05,9.89e-05
107,0,-4.11859,-2.5813,12.47405,5.824,0.0,-0.0001531,7.78e-05
108,0,-4.02229,-2.80548,11.89141,5.20384,0.0,-0.0002789,0.0003216
109,0,-3.91583,-3.00134,11.34347,4.23072,0.0,-0.0004621,0.0003041
110,0,-3.79948,-3.16689,10.31898,2.80602,0.0,-0.0006616,0.0005669
111,0,-3.67353,-3.30047,12.06599,4.78037,0.0,0.000895,-0.0009649
112,0,-3.5383,-3.40071,13.31707,6.38581,0.0,0.0007391,-0.0006918
113,0,-3.39413,-3.46662,13.31711,6.77298,0.0,0.0001985,-1.6e-06
114,0,-3.24139,-3.49751,11.76933,6.28822,0.0,-0.0001448,0.0008498
115,0,-3.08046,-3.49309,8.12909,4.89082,0.0,-0.0004725,0.0019996
116,0,-2.91175,-3.4534,6.51429,4.1603,0.0,-0.0002663,0.0008875
117,0,-2.73569,-3.37884,23.50428,-8.46141,0.0,-0.0076075,-0.0092556
118,0,-2.55271,-3.27015,23.14173,-8.73609,0.0,-0.0001165,0.0001997
119,1,-2.36329,-3.12845,22.81864,-8.90721,0.0,-6.61e-05,0.0001777
120,1,-2.16789,-2.95515,28.53452,-27.77162,0.0,-0.0100522,-0.003055
121,1,-1.96702,-2.75201,29.08396,-27.58544,0.0,5.86e-05,-0.0003017
122,1,-1.76118,-2.52108,29.25752,-27.68077,0.0,-6.05e-05,-9.47e-05
123,1,-1.55089,-2.2647,5.06218,-57.3131,0.0,-0.0135682,0.0133726
124,1,-1.33669,-1.98544,13.53589,-54.19171,0.0,0.0010324,-0.0046541
125,1,-1.1191,-1.68614,22.2977,-71.44115,0.0,-0.0094284,-0.0047299
126,1,-0.8987,-1.36981,22.17019,-71.54927,0.0,-4.69e-05,7.03e-05
127,1,-0.67602,-1.03965,9.4226,-95.20421,0.0,-0.0112711,0.0070779
128,1,-0.45163,-0.69898,8.81359,-95.45305,0.0,-8.68e-05,0.0003346
129,1,-0.2261,-0.35127,9.66507,-116.12373,0.0,-0.0106523,-0.0003832
130,1,-0.0,-0.0,16.15715,-113.77718,0.0,0.000768,-0.0035656
131,1,0.2261,0.35127,21.56449,-111.91843,0.0,0.0005906,-0.0029694
132,1,0.45163,0.69898,14.14828,-135.29401,0.0,-0.011485,0.0041564
133,1,0.67602,1.03965,15.90635,-134.78301,0.0,0.0001442,-0.0009651
134,1,0.8987,1.36981,17.98814,-133.63839,0.0,0.0004473,-0.0011449
135,1,1.1191,1.68614,-10.8487,-165.43042,0.0,-0.0143644,0.0159237
136,1,1.33669,1.98544,-10.05699,-165.16866,0.0,8.11e-05,-0.0004347
137,1,1.55089,2.2647,-3.79714,-183.31653,0.0,-0.0097214,-0.0033558
138,1,1.76118,2.52108,-4.99553,-183.6972,0.0,-0.0001149,0.000658
139,1,1.96702,2.75201,-5.84553,-183.97567,0.0,-8.58e-05,0.0004667
140,1,2.16789,2.95515,4.74396,-201.87705,0.0,-0.009885,-0.0057284
141,1,2.36329,3.12845,3.89247,-202.04616,0.0,-2.97e-05,0.0004671
142,1,2.55271,3.27015,4.19486,-222.38396,0.0,-0.0104449,-8.37e-05
143,1,2.73569,3.37884,3.94324,-222.46783,0.0,-2.61e-05,0.0001382
144,1,2.91175,3.4534,3.73033,-222.61122,0.0,-5.92e-05,0.0001172
145,1,3.08046,3.49309,-0.87093,-243.72219,0.0,-0.0105127,0.0026054
146,1,3.24139,3.49751,-0.73334,-243.6458,0.0,2.99e-05,-7.57e-05
147,1,3.39413,3.46662,-1.50056,-262.15708,0.0,-0.009437,0.0004948
148,1,3.5383,3.40071,-1.81891,-262.28848,0.0,-4.6e-05,0.0001749
149,1,3.67353,3.30047,-2.09687,-262.34937,0.0,-1.26e-05,0.0001525
150,1,3.79948,3.16689,-2.34737,-279.01833,0.0,-0.0085273,0.0002043
151,1,3.91583,3.00134,-2.28873,-279.0427,0.0,-1.64e-05,-3.2e-05
152,1,4.02229,2.80548,-1.75013,-280.32667,0.0,-0.0006942,-0.0002899
153,1,4.11859,2.5813,-3.87461,-298.09205,0.0,-0.0089638,0.0012352
154,1,4.20448,2.33104,-3.5021,-297.84131,0.0,0.0001036,-0.0002051
155,1,4.27975,2.05725,-2.33972,-313.62515,0.0,-0.0081682,-0.0005732
156,1,4.34422,1.76268,-2.15777,-313.61797,0.0,-8.5e-06,-9.97e-05
157,1,4.39771,1.45032,-1.92456,-313.51738,0.0,3.59e-05,-0.0001281
158,1,4.44009,1.1233,-0.39462,-330.30439,0.0,-0.008707,-0.0007705
159,1,4.47125,0.78495,-0.43864,-330.31671,0.0,-3.4e-06,2.42e-05
160,1,4.49112,0.43867,0.35568,-345.84328,0.0,-0.0080117,-0.0003726
161,1,4.49965,0.08796,0.46262,-345.83442,0.0,-2.6e-06,-5.86e-05
162,1,4.4968,-0.26364,0.38884,-345.8022,0.0,2.15e-05,4.03e-05
163,1,4.4826,-0.61258,3.64977,-359.62608,0.0,-0.0073041,-0.0017305
164,1,4.45708,-0.95533,3.58007,-359.64112,0.0,-3e-06,3.82e-05
165,1,4.42029,-1.28844,4.51582,-373.76207,0.0,-0.0073007,-0.0004557
166,1,4.37234,-1.60853,5.05197,-373.74318,0.0,-2.62e-05,-0.0002938
167,1,4.31335,-1.91238,5.20773,-373.75178,0.0,-1.48e-05,-8.53e-05
168,1,4.24346,-2.19692,2.7403,-387.06796,0.0,-0.0066603,0.0014052
169,1,4.16285,-2.45927,2.75958,-387.06942,0.0,-2e-06,-1.06e-05
170,1,4.07172,-2.6968,7.28742,-400.78896,0.0,-0.0073355,-0.0024249
171,1,3.97031,-2.90709,7.0781,-400.8045,0.0,6e-06,0.0001147
172,1,3.85887,-3.08802,4.3854,-412.04963,0.0,-0.0055836,0.0015202
173,1,3.73768,-3.23777,4.17168,-412.13087,0.0,-2.73e-05,0.0001174
174,1,3.60705,-3.35483,3.96869,-412.21199,0.0,-2.8e-05,0.0001115
175,1,3.46731,-3.438,7.68901,-425.09675,0.0,-0.0068536,-0.001986
176,1,3.31881,-3.48647,6.98097,-425.25677,0.0,-3.46e-05,0.0003885
177,1,3.16193,-3.49972,8.51112,-434.59731,0.0,-0.0048902,-0.0008005
178,1,2.99705,-3.47764,7.50205,-434.83268,0.0,-5.31e-05,0.0005537
179,1,2.82461,-3.42044,7.01152,-434.87565,0.0,1.08e-05,0.0002689
180,1,2.64503,-3.3287,15.5128,-445.01765,0.0,-0.0057679,-0.0046158
181,0,2.45878,-3.20334,15.10957,-445.04953,0.0,1.07e-05,0.000221
182,0,2.2663,-3.04564,17.0991,-452.68426,0.0,-0.0040466,-0.001059
183,0,2.06811,-2.85719,16.01953,-452.8459,0.0,-1.06e-05,0.000592
184,0,1.86469,-2.63988,27.50843,-461.48314,0.0,-0.0051967,-0.0062584
185,0,1.65656,-2.39592,27.07747,-461.52207,0.0,8.9e-06,0.0002362
186,0,1.44425,-2.12776,62.72913,-462.53282,0.0,-0.0029059,-0.0195246
187,0,1.22828,-1.83811,59.20283,-463.32168,0.0,-0.0001682,0.0019348
188,0,1.00922,-1.52991,55.15592,-464.17351,0.0,-0.0001656,0.0022202
189,1,0.7876,-1.20625,50.84924,-465.23534,0.0,-0.0002558,0.0023633
190,1,0.564,-0.87042,47.17085,-466.14022,0.0,-0.0002175,0.0020185
191,1,0.33897,-0.52579,41.94324,-467.11833,0.0,-0.0001512,0.0028674
192,1,0.11309,-0.17586,35.11517,-467.84226,0.0,8.62e-05,0.0037431
193,1,-0.11309,0.17586,31.61665,-468.20727,0.0,4.72e-05,0.0019178
194,1,-0.33897,0.52579,28.90043,-468.39387,0.0,8.63e-05,0.0014886
195,1,-0.564,0.87042,26.15341,-468.63437,0.0,6.07e-05,0.0015057
196,1,-0.7876,1.20625,22.8879,-469.04321,0.0,9.1e-06,0.0017904
197,1,-1.00922,1.52991,19.20369,-469.5445,0.0,-1.02e-05,0.0020201
198,0,-1.22828,1.83811,16.54025,-469.9806,0.0,-4.52e-05,0.0014607
199,0,-1.44425,2.12776,15.80564,-470.18424,0.0,-5.52e-05,0.0004032
200,0,-1.65656,2.39592,15.44498,-470.26849,0.0,-1.9e-05,0.0001979
201,0,-1.86469,2.63988,15.15707,-470.29663,0.0,4.9e-06,0.0001578
202,0,-2.06811,2.85719,14.33115,-470.44176,0.0,-1.91e-05,0.000453
203,0,-2.2663,3.04564,13.45486,-470.63673,0.0,-4.12e-05,0.0004808
204,0,-2.45878,3.20334,13.0165,-470.71503,0.0,-1.08e-05,0.0002404
205,1,-2.64503,3.3287,12.83293,-470.75201,0.0,-6.7e-06,0.0001007
206,1,-2.82461,3.42044,13.03837,-470.72081,0.0,2.2e-06,-0.0001127
207,1,-2.99705,3.47764,13.95546,-470.57118,0.0,1.53e-05,-0.000503
208,1,-3.16193,3.49972,16.69361,-470.08228,0.0,6.72e-05,-0.0015018
209,1,-3.31881,3.48647,19.16191,-469.63787,0.0,6.25e-05,-0.0013538
210,1,-3.46731,3.438,23.09842,-469.12894,0.0,-2.8e-06,-0.0021583
211,1,-3.60705,3.35483,26.2531,-468.78135,0.0,-3.31e-05,-0.0017294
212,1,-3.73768,3.23777,28.70969,-468.49969,0.0,-2.02e-05,-0.0013468
213,1,-3.85887,3.08802,30.67125,-468.32301,0.0,-4.08e-05,-0.0010752
214,1,-3.97031,2.90709,24.30593,-480.42141,0.0,-0.005775,0.0035354
215,1,-4.07172,2.6968,25.04092,-480.32413,0.0,6e-07,-0.000403
216,1,-4.16285,2.45927,24.09921,-485.20466,0.0,-0.0024386,0.0005355
217,0,-4.24346,2.19692,24.48178,-485.13165,0.0,1.18e-05,-0.0002098
218,0,-4.31335,1.91238,25.81959,-484.93801,0.0,9.7e-06,-0.0007336
219,1,-4.37234,1.60853,50.77146,-486.77211,0.0,-0.0026113,-0.0136603
220,1,-4.42029,1.28844,51.12421,-486.75561,0.0,-1.52e-05,-0.0001933
221,1,-4.45708,0.95533,79.75371,-483.76005,0.0,-0.000382,-0.0156942
222,1,-4.4826,0.61258,79.13382,-483.86501,0.0,-1.23e-05,0.00034
223,1,-4.4968,0.26364,55.3161,-491.55084,0.0,-0.0023443,0.0130774
224,1,-4.49965,-0.08796,54.33624,-491.70474,0.0,-1.33e-05,0.0005374
225,0,-4.49112,-0.43867,51.7421,-492.00103,0.0,2.19e-05,0.0014222
226,0,-4.47125,-0.78495,78.66154,-489.51602,0.0,-0.0005292,-0.0147555
227,0,-4.44009,-1.1233,72.29854,-490.50298,0.0,-7.97e-05,0.0034894
228,0,-4.39771,-1.45032,93.328,-487.80341,0.0,-2.47e-05,-0.01153
229,0,-4.34422,-1.76268,93.53055,-488.03975,0.0,-0.0001347,-0.00011
230,0,-4.27975,-2.05725,92.85806,-488.75917,0.0,-0.0003237,0.0003713
231,0,-4.20448,-2.33104,68.88456,-492.52857,0.0,-0.0003265,0.0131469
232,0,-4.11859,-2.5813,70.16983,-492.39284,0.0,-1.65e-05,-0.0007046
233,0,-4.02229,-2.80548,71.63963,-491.70164,0.0,0.0002559,-0.0008079
234,0,-3.91583,-3.00134,68.88594,-492.21058,0.0,-7.64e-05,0.0015104
235,0,-3.79948,-3.16689,68.24576,-492.5057,0.0,-0.0001084,0.0003519
236,0,-3.67353,-3.30047,52.04664,-491.52092,0.0,0.0015897,0.0088693
237,0,-3.5383,-3.40071,52.25345,-491.54419,0.0,-2.58e-05,-0.0001132
238,0,-3.39413,-3.46662,51.50411,-491.73671,0.0,-4.85e-05,0.0004112
239,0,-3.24139,-3.49751,56.72884,-485.91746,0.0,0.0026329,-0.0028853
240,0,-3.08046,-3.49309,55.96766,-485.98169,0.0,1.81e-05,0.0004172
241,0,-2.91175,-3.4534,62.23923,-482.1942,0.0,0.0015213,-0.0034506
242,0,-2.73569,-3.37884,62.03289,-482.2382,0.0,-8.7e-06,0.0001132
243,0,-2.55271,-3.27015,62.28694,-482.1118,0.0,4.78e-05,-0.0001397
244,0,-2.36329,-3.12845,40.88041,-482.15875,0.0,0.0014096,0.0117259
245,0,-2.16789,-2.95515,44.21371,-481.78129,0.0,-2.98e-05,-0.0018274
246,0,-1.96702,-2.75201,42.12651,-476.43328,0.0,0.002881,0.0011218
247,0,-1.76118,-2.52108,42.08636,-476.45833,0.0,-1.01e-05,2.21e-05
248,0,-1.55089,-2.2647,40.67935,-470.41894,0.0,0.0031899,0.0007464
249,0,-1.33669,-1.98544,40.60229,-470.38645,0.0,2.18e-05,4.21e-05
250,0,-1.1191,-1.68614,29.54766,-465.3965,0.0,0.0032981,0.0060352
251,0,-0.8987,-1.36981,29.95566,-465.41124,0.0,-3.49e-05,-0.0002234
252,0,-0.67602,-1.03965,30.2887,-465.40595,0.0,-1.96e-05,-0.0001824
253,0,-0.45163,-0.69898,28.79648,-457.14488,0.0,0.0043343,0.0007841
254,0,-0.2261,-0.35127,28.75865,-457.1343,0.0,8e-06,2.07e-05
255,0,-0.0,-0.0,28.73587,-457.11111,0.0,1.34e-05,1.24e-05
256,0,0.2261,0.35127,24.31867,-448.04702,0.0,0.0049419,0.0023831
257,0,0.45163,0.69898,23.84107,-447.98105,0.0,6.58e-05,0.0002613
258,0,0.67602,1.03965,2.5492,-440.42634,0.0,0.0052984,0.0116325
259,0,0.8987,1.36981,3.43066,-440.39352,0.0,-4.22e-05,-0.000483
260,0,1.1191,1.68614,3.3398,-440.35521,0.0,2.57e-05,4.96e-05
261,0,1.33669,1.98544,12.70438,-429.67527,0.0,0.004847,-0.0051726
262,0,1.55089,2.2647,12.72424,-429.60366,0.0,3.54e-05,-1.12e-05
263,0,1.76118,2.52108,0.69116,-421.75422,0.0,0.0048293,0.0065597
264,0,1.96702,2.75201,0.50334,-421.70082,0.0,4e-05,0.0001027
265,0,2.16789,2.95515,0.23478,-421.59974,0.0,6.98e-05,0.0001467
266,0,2.36329,3.12845,-8.39903,-410.02486,0.0,0.0065112,0.0046827
267,0,2.55271,3.27015,-8.75349,-409.96527,0.0,5.43e-05,0.0001939
268,0,2.73569,3.37884,-8.27004,-398.55496,0.0,0.0058162,-0.0003108
269,0,2.91175,3.4534,-7.96127,-398.57025,0.0,-2.85e-05,-0.0001691
270,0,3.08046,3.49309,-7.76131,-398.5818,0.0,-1.93e-05,-0.0001095
271,0,3.24139,3.49751,-21.17196,-387.17342,0.0,0.0067458,0.0072999
272,0,3.39413,3.46662,-21.24791,-387.11412,0.0,3.55e-05,4.14e-05
273,0,3.5383,3.40071,-27.23818,-373.75331,0.0,0.0072496,0.0032274
274,0,3.67353,3.30047,-27.34765,-373.74618,0.0,1.1e-05,5.99e-05
275,0,3.79948,3.16689,-31.50136,-360.26575,0.0,0.0071879,0.002221
276,0,3.91583,3.00134,-31.62438,-360.20254,0.0,4.06e-05,6.71e-05
277,0,4.02229,2.80548,-31.73613,-360.14121,0.0,3.89e-05,6.1e-05
278,0,4.11859,2.5813,-35.69519,-345.73724,0.0,0.0076482,0.0021106
279,0,4.20448,2.33104,-35.61079,-345.68106,0.0,2.31e-05,-4.65e-05
280,0,4.27975,2.05725,-40.642,-331.53211,0.0,0.0075893,0.0026989
281,0,4.34422,1.76268,-40.78737,-331.50322,0.0,2.45e-05,7.95e-05
282,0,4.39771,1.45032,-40.73298,-331.46291,0.0,1.7e-05,-3e-05
283,0,4.44009,1.1233,-40.10742,-317.40811,0.0,0.0071622,-0.0003993
284,0,4.47125,0.78495,-39.98534,-317.15686,0.0,0.0001206,-6.79e-05
285,0,4.49112,0.43867,-41.14235,-303.41553,0.0,0.0071209,0.0005784
286,0,4.49965,0.08796,-41.9875,-303.91787,0.0,-0.0002009,0.000465
287,0,4.4968,-0.26364,-42.98253,-304.4227,0.0,-0.0001921,0.0005471
288,0,4.4826,-0.61258,-49.41647,-288.17912,0.0,0.0087569,0.0034589
289,0,4.45708,-0.95533,-49.48404,-288.20196,0.0,-7.2e-06,3.71e-05
290,0,4.42029,-1.28844,-54.8688,-271.31972,0.0,0.009014,0.0028816
