frame,health,gt_x,gt_y,est_x,est_y,est_z,slam_dx,slam_dy
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0,0.0,-0.0003956,-0.0001471
2,1,0.0,0.0,0.0,0.0,0.0,0.0003681,0.0002308
3,1,0.0,0.0,0.0,0.0,0.0,-0.0001266,-0.000129
4,1,0.0,0.0,0.0,0.0,0.0,0.0004769,-0.0002684
5,1,0.0,0.0,0.0,0.0,0.0,0.0006128,-0.000264
6,1,0.2261,0.35127,0.2261,0.35127,0.0,0.0079551,0.0083539
7,1,0.45163,0.69898,0.45163,0.69898,0.0,0.0090985,0.0078711
8,1,0.67602,1.03965,0.67602,1.03965,0.0,0.0088683,0.0077426
9,1,0.8987,1.36981,0.8987,1.36981,0.0,0.0090768,0.0065966
10,1,1.1191,1.68614,1.1191,1.68614,0.0,0.0087681,0.0078042
11,1,1.33669,1.98544,1.33669,1.98544,0.0,0.008513,0.0061461
12,1,1.55089,2.2647,1.55089,2.2647,0.0,0.007707,0.005866
13,1,1.76118,2.52108,1.76118,2.52108,0.0,0.0086155,0.0052335
14,1,1.96702,2.75201,1.96702,2.75201,0.0,0.007398,0.004871
15,1,2.16789,2.95515,2.16789,2.95515,0.0,0.0067018,0.0035294
16,1,2.36329,3.12845,2.36329,3.12845,0.0,0.0064554,0.0031123
17,1,2.55271,3.27015,2.55271,3.27015,0.0,0.005703,0.0030529
18,1,2.73569,3.37884,2.73569,3.37884,0.0,0.0059713,0.0014727
19,1,2.91175,3.4534,2.91175,3.4534,0.0,0.0058,0.0013624
20,1,3.08046,3.49309,3.08046,3.49309,0.0,0.0047503,-0.000116
21,1,3.24139,3.49751,3.24139,3.49751,0.0,0.0042344,-0.000744
22,1,3.39413,3.46662,3.39413,3.46662,0.0,0.0037222,-0.002097
23,1,3.5383,3.40071,3.5383,3.40071,0.0,0.0036672,-0.0029166
24,1,3.67353,3.30047,3.67353,3.30047,0.0,0.0031908,-0.0038331
25,1,3.79948,3.16689,3.79948,3.16689,0.0,0.0023717,-0.0050821
26,1,3.91583,3.00134,3.91583,3.00134,0.0,0.0017787,-0.0047746
27,1,4.02229,2.80548,4.02229,2.80548,0.0,0.0013757,-0.006034
28,1,4.11859,2.5813,4.11859,2.5813,0.0,0.0013512,-0.006218
29,1,4.20448,2.33104,4.20448,2.33104,0.0,0.0003643,-0.0086253
30,1,4.27975,2.05725,4.27791,2.05444,0.0,-0.0002822,-0.0083617
31,1,4.34422,1.76268,4.33989,1.75856,0.0,-0.0005356,-0.0087065
32,1,4.39771,1.45032,4.38974,1.45272,0.0,-0.0009472,-0.0088884
33,1,4.44009,1.1233,4.46131,1.13283,0.0,-0.0004526,-0.0094486
34,1,4.47125,0.78495,4.47827,0.81805,0.0,-0.001926,-0.0088797
35,1,4.49112,0.43867,4.5056,0.49393,0.0,-0.0017099,-0.0092202
36,1,4.49965,0.08796,4.50989,0.14934,0.0,-0.0025035,-0.009609
37,1,4.4968,-0.26364,4.51077,-0.18399,0.0,-0.0025125,-0.0092694
38,1,4.4826,-0.61258,4.50474,-0.53091,0.0,-0.0028071,-0.0095929
39,1,4.45708,-0.95533,4.46543,-0.86887,0.0,-0.0036605,-0.0090836
40,1,4.42029,-1.28844,4.42828,-1.1948,0.0,-0.003509,-0.0087663
41,1,4.37234,-1.60853,4.357,-1.52302,0.0,-0.0044716,-0.0085632
42,1,4.31335,-1.91238,4.31046,-1.8104,0.0,-0.003476,-0.0076216
43,1,4.24346,-2.19692,4.22227,-2.09671,0.0,-0.0046209,-0.0072663
44,1,4.16285,-2.45927,4.15077,-2.36094,0.0,-0.0039906,-0.0067832
45,1,4.07172,-2.6968,4.04873,-2.57932,0.0,-0.0044876,-0.0052704
46,1,3.97031,-2.90709,3.94254,-2.7905,0.0,-0.0045477,-0.0050377
47,1,3.85887,-3.08802,3.81317,-2.98861,0.0,-0.0050897,-0.0044934
48,1,3.73768,-3.23777,3.68384,-3.11932,0.0,-0.0045761,-0.0026207
49,1,3.60705,-3.35483,3.56952,-3.24597,0.0,-0.0041293,-0.0026255
50,1,3.46731,-3.438,3.3959,-3.43939,0.0,-0.0045289,-0.0017218
51,1,3.31881,-3.48647,3.24068,-3.50253,0.0,-0.0048371,-0.0005516
52,1,3.16193,-3.49972,3.10278,-3.48628,0.0,-0.0037539,0.0014893
53,1,2.99705,-3.47764,2.90692,-3.45693,0.0,-0.0052846,0.0022871
54,1,2.82461,-3.42044,2.73821,-3.38906,0.0,-0.0042321,0.0031352
55,1,2.64503,-3.3287,2.55473,-3.2945,0.0,-0.0044468,0.0039773
56,1,2.45878,-3.20334,2.391,-3.16893,0.0,-0.0036585,0.0046764
57,1,2.2663,-3.04564,2.21964,-3.01402,0.0,-0.0036527,0.0055367
58,1,2.06811,-2.85719,2.01919,-2.81216,0.0,-0.0041175,0.0070416
59,1,1.86469,-2.63988,1.79197,-2.61252,0.0,-0.0048868,0.0071839
60,1,1.65656,-2.39592,1.59328,-2.38577,0.0,-0.003881,0.0077095
61,1,1.44425,-2.12776,1.38291,-2.09827,0.0,-0.003753,0.00946
62,1,1.22828,-1.83811,1.15902,-1.80753,0.0,-0.0041084,0.0096511
63,1,1.00922,-1.52991,0.95922,-1.48162,0.0,-0.0031674,0.0104312
64,1,0.7876,-1.20625,0.74901,-1.14266,0.0,-0.0033619,0.0108668
65,1,0.564,-0.87042,0.55496,-0.8243,0.0,-0.0030622,0.0101807
66,1,0.33897,-0.52579,0.33991,-0.48223,0.0,-0.0034747,0.0109887
67,1,0.11309,-0.17586,0.11056,-0.12409,0.0,-0.0037555,0.0115366
68,1,-0.11309,0.17586,-0.10412,0.22543,0.0,-0.0034082,0.0111898
69,1,-0.33897,0.52579,-0.32678,0.57909,0.0,-0.0036014,0.0113632
70,1,-0.564,0.87042,-0.54774,0.89737,0.0,-0.0038192,0.0103826
71,1,-0.7876,1.20625,-0.79026,1.2395,0.0,-0.0042461,0.0111983
72,1,-1.00922,1.52991,-1.0095,1.55551,0.0,-0.0037883,0.0103076
73,1,-1.22828,1.83811,-1.24374,1.872,0.0,-0.004206,0.010434
74,1,-1.44425,2.12776,-1.45294,2.1669,0.0,-0.0036645,0.0096537
75,1,-1.65656,2.39592,-1.65433,2.43287,0.0,-0.0036622,0.008803
76,1,-1.86469,2.63988,-1.87673,2.67257,0.0,-0.0044502,0.0082434
77,0,-2.06811,2.85719,-2.08244,2.90839,0.0,-0.0040104,0.0080107
78,0,-2.2663,3.04564,-2.28002,3.11743,0.0,-0.003983,0.0072164
79,0,-2.45878,3.20334,-2.44889,3.29306,0.0,-0.0034269,0.0060849
80,0,-2.64503,3.3287,-2.62541,3.39736,0.0,-0.0041777,0.0041912
81,0,-2.82461,3.42044,-2.82619,3.48452,0.0,-0.0049888,0.0039062
82,0,-2.99705,3.47764,-3.01002,3.50833,0.0,-0.0049879,0.0020441
83,0,-3.16193,3.49972,-3.17185,3.55225,0.0,-0.0042185,0.0024278
84,0,-3.31881,3.48647,-3.33313,3.54832,0.0,-0.0045629,0.0011143
85,0,-3.46731,3.438,-3.49048,3.51583,0.0,-0.0046668,0.0003035
86,0,-3.60705,3.35483,-3.59713,3.42767,0.0,-0.0036599,-0.0016043
87,0,-3.73768,3.23777,-3.93323,2.90223,0.0,-0.0133947,-0.0118298
88,0,-3.85887,3.08802,-4.05082,2.77051,0.0,-0.0042947,-0.002713
89,1,-3.97031,2.90709,-4.15686,2.59403,0.0,-0.0043063,-0.0040252
90,0,-4.07172,2.6968,-4.27167,2.37424,0.0,-0.0048783,-0.0051436
91,0,-4.16285,2.45927,-4.34572,2.11925,0.0,-0.0039972,-0.0064158
92,0,-4.24346,2.19692,-4.4107,1.86315,0.0,-0.0037504,-0.0065148
93,0,-4.31335,1.91238,-4.5224,1.5684,0.0,-0.0053541,-0.0072183
94,0,-4.37234,1.60853,-4.6014,1.2536,0.0,-0.0045856,-0.0080146
95,0,-4.42029,1.28844,-4.66105,0.91096,0.0,-0.0042509,-0.0089228
96,0,-4.45708,0.95533,-4.71325,0.56834,0.0,-0.0040414,-0.0089787
97,0,-4.4826,0.61258,-4.75574,0.20999,0.0,-0.0038864,-0.0094828
98,0,-4.4968,0.26364,-4.7352,-0.13233,0.0,-0.0019947,-0.0095218
99,0,-4.49965,-0.08796,-4.72059,-0.45999,0.0,-0.002051,-0.0090758
100,0,-4.49112,-0.43867,-4.71036,-0.80348,0.0,-0.002293,-0.0094755
101,0,-4.47125,-0.78495,-4.69556,-1.15882,0.0,-0.0022537,-0.0098346
102,0,-4.44009,-1.1233,-4.64238,-1.51312,0.0,-0.0011673,-0.0100968
103,0,-4.39771,-1.45032,-4.63575,-1.85782,0.0,-0.0024033,-0.0094812
104,0,-4.34422,-1.76268,-4.5746,-2.16945,0.0,-0.0006226,-0.0089898
105,0,-4.27975,-2.05725,-4.51469,-2.48538,0.0,-0.0006898,-0.009098
106,0,-4.20448,-2.33104,-4.43962,-2.76681,0.0,-4.2e-06,-0.0082689
107,0,-4.11859,-2.5813,-4.34531,-3.00931,0.0,0.0008288,-0.0073494
108,0,-4.02229,-2.80548,-4.25101,-3.23782,0.0,0.0009337,-0.0069668
109,0,-3.91583,-3.00134,-4.15612,-3.4512,0.0,0.0010639,-0.0065571
110,0,-3.79948,-3.16689,-4.05477,-3.62572,0.0,0.0015377,-0.0055429
111,0,-3.67353,-3.30047,-3.92233,-3.78086,0.0,0.0025569,-0.0052484
112,0,-3.5383,-3.40071,-3.79797,-3.87715,0.0,0.002772,-0.0035765
113,0,-3.39413,-3.46662,-3.63211,-3.9596,0.0,0.0040423,-0.0035128
114,0,-3.24139,-3.49751,-3.46266,-3.98192,0.0,0.0045951,-0.0018944
115,0,-3.08046,-3.49309,-3.30557,-3.94831,0.0,0.004668,-0.0002708
116,0,-2.91175,-3.4534,-3.137,-3.90459,0.0,0.0050665,-8.1e-05
117,0,-2.73569,-3.37884,-2.96497,-3.81586,0.0,0.0055018,0.0011243
118,0,-2.55271,-3.27015,-2.79061,-3.73869,0.0,0.0054806,0.0007904
119,1,-2.36329,-3.12845,-2.61827,-3.59431,0.0,0.0059289,0.0026445
120,1,-2.16789,-2.95515,-2.41822,-3.42421,0.0,0.0069008,0.0031384
121,1,-1.96702,-2.75201,-2.2184,-3.2355,0.0,0.007034,0.0036494
122,1,-1.76118,-2.52108,-2.01026,-2.98148,0.0,0.0077589,0.0053731
123,1,-1.55089,-2.2647,-1.80768,-2.7429,0.0,0.0074864,0.0049928
124,1,-1.33669,-1.98544,-1.59737,-2.4692,0.0,0.0079676,0.0058953
125,1,-1.1191,-1.68614,-1.39343,-2.18263,0.0,0.0078852,0.0062954
126,1,-0.8987,-1.36981,-1.17122,-1.84616,0.0,0.0087737,0.0075226
127,1,-0.67602,-1.03965,-0.95851,-1.50542,0.0,0.0085386,0.0077113
128,1,-0.45163,-0.69898,-0.73576,-1.19467,0.0,0.0085956,0.0068145
129,1,-0.2261,-0.35127,-0.53194,-0.84311,0.0,0.00837,0.0080748
130,1,-0.0,-0.0,-0.30635,-0.47537,0.0,0.0091037,0.0083524
131,1,0.2261,0.35127,-0.09942,-0.13168,0.0,0.0083982,0.0078356
132,1,0.45163,0.69898,0.11319,0.19329,0.0,0.0084176,0.0072807
133,1,0.67602,1.03965,0.31414,0.53234,0.0,0.0081954,0.007754
134,1,0.8987,1.36981,0.53611,0.8628,0.0,0.0087218,0.0073598
135,1,1.1191,1.68614,0.76091,1.19493,0.0,0.0088137,0.0073842
136,1,1.33669,1.98544,0.97341,1.4985,0.0,0.0082537,0.0066956
137,1,1.55089,2.2647,1.16138,1.79815,0.0,0.0075345,0.0067746
138,1,1.76118,2.52108,1.35484,2.03846,0.0,0.0072433,0.0051094
139,1,1.96702,2.75201,1.57627,2.2821,0.0,0.0080542,0.0049884
140,1,2.16789,2.95515,1.77866,2.47686,0.0,0.0071519,0.0037952
141,1,2.36329,3.12845,1.85121,2.3943,0.0,0.0069422,0.0037844
142,1,2.55271,3.27015,2.04082,2.52669,0.0,0.0067966,0.0027474
143,1,2.73569,3.37884,2.21534,2.60674,0.0,0.0059072,0.0013429
144,1,2.91175,3.4534,2.39663,2.66652,0.0,0.0059417,0.000732
145,1,3.08046,3.49309,2.55686,2.71293,0.0,0.0051975,0.0004647
146,1,3.24139,3.49751,2.72605,2.72274,0.0,0.0051617,-0.0006212
147,1,3.39413,3.46662,2.88037,2.69055,0.0,0.0043647,-0.0017335
148,1,3.5383,3.40071,3.02943,2.63123,0.0,0.003981,-0.0024754
149,1,3.67353,3.30047,3.16227,2.50119,0.0,0.0029039,-0.0043951
150,1,3.79948,3.16689,3.29252,2.35935,0.0,0.0027279,-0.004716
151,1,3.91583,3.00134,3.41463,2.2166,0.0,0.002476,-0.0046984
152,1,4.02229,2.80548,3.52393,2.00536,0.0,0.0015201,-0.0065733
153,1,4.11859,2.5813,3.61964,1.77231,0.0,0.0009304,-0.0071199
154,1,4.20448,2.33104,3.73991,1.52615,0.0,0.0015586,-0.007622
155,1,4.27975,2.05725,3.82796,1.26186,0.0,0.00044,-0.0079652
156,1,4.34422,1.76268,3.88891,0.97136,0.0,-0.0005926,-0.0085647
157,1,4.39771,1.45032,3.93557,0.64646,0.0,-0.001308,-0.0094645
158,1,4.44009,1.1233,3.97132,0.34606,0.0,-0.0014313,-0.0087112
159,1,4.47125,0.78495,4.02077,0.0151,0.0,-0.0012751,-0.0096513
160,1,4.49112,0.43867,4.04716,-0.31815,0.0,-0.0019861,-0.0095934
161,1,4.49965,0.08796,4.06056,-0.68212,0.0,-0.0026324,-0.0103958
162,1,4.4968,-0.26364,4.06202,-1.01649,0.0,-0.0027443,-0.009493
163,1,4.4826,-0.61258,4.05286,-1.35503,0.0,-0.0030979,-0.0095545
164,1,4.45708,-0.95533,4.05324,-1.70461,0.0,-0.0029032,-0.0099186
165,1,4.42029,-1.28844,3.8143,-2.36825,0.0,-0.0127076,-0.0175549
166,1,4.37234,-1.60853,3.75552,-2.69747,0.0,-0.0045097,-0.0090263
167,1,4.31335,-1.91238,3.67823,-2.97769,0.0,-0.0046569,-0.0075382
168,1,4.24346,-2.19692,3.62698,-3.2595,0.0,-0.0038886,-0.0077216
169,1,4.16285,-2.45927,3.54712,-3.51449,0.0,-0.0045236,-0.0068086
170,1,4.07172,-2.6968,3.51472,-3.75785,0.0,-0.0030019,-0.0067311
171,1,3.97031,-2.90709,3.41374,-3.94219,0.0,-0.0045689,-0.0046923
172,1,3.85887,-3.08802,3.31462,-4.11601,0.0,-0.0044255,-0.0044039
173,1,3.73768,-3.23777,3.2021,-4.24243,0.0,-0.0044324,-0.0029878
174,1,3.60705,-3.35483,3.07525,-4.34808,0.0,-0.0046893,-0.0023226
175,1,3.46731,-3.438,2.96595,-4.42715,0.0,-0.0039407,-0.0016617
176,1,3.31881,-3.48647,2.83552,-4.46417,0.0,-0.0042246,-0.0003568
177,1,3.16193,-3.49972,2.68405,-4.46207,0.0,-0.0045302,0.0008648
178,1,2.99705,-3.47764,2.51355,-4.43547,0.0,-0.0048973,0.0016609
179,1,2.82461,-3.42044,2.33086,-4.36631,0.0,-0.0049085,0.0029332
180,1,2.64503,-3.3287,2.1412,-4.26287,0.0,-0.0048318,0.0039425
181,0,2.45878,-3.20334,1.96356,-4.15564,0.0,-0.0044394,0.0039863
182,0,2.2663,-3.04564,1.79669,-3.97221,0.0,-0.0034805,0.0060906
183,0,2.06811,-2.85719,1.61688,-3.75198,0.0,-0.0035624,0.0072031
184,0,1.86469,-2.63988,1.43644,-3.51679,0.0,-0.0034565,0.007631
185,0,1.65656,-2.39592,1.25439,-3.27167,0.0,-0.003422,0.0079211
186,0,1.44425,-2.12776,1.06734,-2.99894,0.0,-0.0033419,0.0087308
187,0,1.22828,-1.83811,0.85189,-2.70599,0.0,-0.0040261,0.0094555
188,0,1.00922,-1.52991,0.62989,-2.39151,0.0,-0.0040432,0.0101011
189,1,0.7876,-1.20625,0.41725,-2.05748,0.0,-0.003599,0.0106061
190,1,0.564,-0.87042,0.21539,-1.72926,0.0,-0.0033239,0.0103837
191,1,0.33897,-0.52579,-0.00922,-1.37652,0.0,-0.0038024,0.0112002
192,1,0.11309,-0.17586,-0.22618,-0.99672,0.0,-0.0033471,0.0119273
193,1,-0.11309,0.17586,-0.44387,-0.63511,0.0,-0.0035209,0.011415
194,1,-0.33897,0.52579,-0.64877,-0.27236,0.0,-0.0031273,0.0113794
195,1,-0.564,0.87042,-0.86152,0.08754,0.0,-0.0033866,0.0113404
196,1,-0.7876,1.20625,-1.10676,0.41633,0.0,-0.0046217,0.0106305
197,1,-1.00922,1.52991,-1.3153,0.73928,0.0,-0.0035685,0.0102696
198,0,-1.22828,1.83811,-1.53473,1.05476,0.0,-0.0039575,0.0101159
199,0,-1.44425,2.12776,-1.74474,1.35341,0.0,-0.0038151,0.0095882
200,0,-1.65656,2.39592,-1.96117,1.65653,0.0,-0.0039707,0.0097493
201,0,-1.86469,2.63988,-2.18237,1.90594,0.0,-0.0045617,0.008251
202,0,-2.06811,2.85719,-2.3565,2.12775,0.0,-0.0033786,0.0072179
