frame,health,est_x,est_y,est_z,ref_x,ref_y,ref_z
0,1,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0.0,0.0,0.0,0.0,0.0,0.0
3,1,0.0,0.0,0.0,0.0,0.0,0.0
4,1,0.0,0.0,0.0,0.0,0.0,0.0
5,1,0.0,0.0,0.0,0.0,0.0,0.0
6,1,0.0,0.0,0.0,0.0,0.0,0.0
7,1,0.0,0.0,0.0,0.0,0.0,0.0
8,1,0.0,0.0,0.0,0.0,0.0,0.0
9,1,0.0,0.0,0.0,0.0,0.0,0.0
10,1,0.0,0.0,0.0,0.0,0.0,0.0
11,1,0.0,0.0,0.0,0.0,0.0,0.0
12,1,0.0,0.0,0.0,0.0,0.0,0.0
13,1,0.0,0.0,0.0,0.0,0.0,0.0
14,1,0.0,0.0,0.0,0.0,0.0,0.0
15,1,0.0,0.0,0.0,0.0,0.0,0.0
16,1,0.075395,0.117264,0.0,0.075395,0.117264,0.0
17,1,0.150768,0.234397,0.0,0.150768,0.234397,0.0
18,1,0.226099,0.351266,0.0,0.226099,0.351266,0.0
19,1,0.301367,0.467741,0.0,0.301367,0.467741,0.0
20,1,0.37655,0.583691,0.0,0.37655,0.583691,0.0
21,1,0.451628,0.698985,0.0,0.451628,0.698985,0.0
22,1,0.526578,0.813494,0.0,0.526578,0.813494,0.0
23,1,0.601381,0.92709,0.0,0.601381,0.92709,0.0
24,1,0.676015,1.039646,0.0,0.676015,1.039646,0.0
25,1,0.750459,1.151033,0.0,0.750459,1.151033,0.0
26,1,0.824693,1.261129,0.0,0.824693,1.261129,0.0
27,1,0.898695,1.369808,0.0,0.898695,1.369808,0.0
28,1,0.972445,1.476949,0.0,0.972445,1.476949,0.0
29,1,1.045921,1.582432,0.0,1.045921,1.582432,0.0
30,1,1.119104,1.686138,0.0,1.119104,1.686138,0.0
31,1,1.191973,1.787951,0.0,1.191973,1.787951,0.0
32,1,1.264508,1.887756,0.0,1.264508,1.887756,0.0
33,1,1.336687,1.985441,0.0,1.336687,1.985441,0.0
34,1,1.408491,2.080898,0.0,1.408491,2.080898,0.0
35,1,1.4799,2.174017,0.0,1.4799,2.174017,0.0
36,1,1.550893,2.264696,0.0,1.550893,2.264696,0.0
37,1,1.621451,2.352832,0.0,1.621451,2.352832,0.0
38,1,1.691554,2.438326,0.0,1.691554,2.438326,0.0
39,1,1.761182,2.521082,0.0,1.761182,2.521082,0.0
40,1,1.830315,2.601007,0.0,1.830315,2.601007,0.0
41,1,1.898934,2.678012,0.0,1.898934,2.678012,0.0
42,1,1.967021,2.75201,0.0,1.967021,2.75201,0.0
43,1,2.034555,2.822917,0.0,2.034555,2.822917,0.0
44,1,2.101518,2.890655,0.0,2.101518,2.890655,0.0
45,1,2.167892,2.955148,0.0,2.167892,2.955148,0.0
46,1,2.233656,3.016322,0.0,2.233656,3.016322,0.0
47,1,2.298794,3.074109,0.0,2.298794,3.074109,0.0
48,1,2.363286,3.128445,0.0,2.363286,3.128445,0.0
49,1,2.427115,3.179268,0.0,2.427115,3.179268,0.0
50,1,2.490262,3.226521,0.0,2.490262,3.226521,0.0
51,1,2.55271,3.270151,0.0,2.55271,3.270151,0.0
52,1,2.614442,3.31011,0.0,2.614442,3.31011,0.0
53,1,2.67544,3.346351,0.0,2.67544,3.346351,0.0
54,1,2.735686,3.378836,0.0,2.735686,3.378836,0.0
55,1,2.795165,3.407526,0.0,2.795165,3.407526,0.0
56,1,2.853859,3.43239,0.0,2.853859,3.43239,0.0
57,1,2.911752,3.453401,0.0,2.911752,3.453401,0.0
58,1,2.968827,3.470534,0.0,2.968827,3.470534,0.0
59,1,3.025069,3.483769,0.0,3.025069,3.483769,0.0
60,1,3.080462,3.493094,0.0,3.080462,3.493094,0.0
61,1,3.13499,3.498496,0.0,3.13499,3.498496,0.0
62,1,3.188638,3.499969,0.0,3.188638,3.499969,0.0
63,1,3.241391,3.497513,0.0,3.241391,3.497513,0.0
64,1,3.293233,3.49113,0.0,3.293233,3.49113,0.0
65,1,3.344152,3.480827,0.0,3.344152,3.480827,0.0
66,1,3.394131,3.466615,0.0,3.394131,3.466615,0.0
67,1,3.443158,3.448511,0.0,3.443158,3.448511,0.0
68,1,3.491218,3.426535,0.0,3.491218,3.426535,0.0
69,1,3.538298,3.400711,0.0,3.538298,3.400711,0.0
70,1,3.584385,3.371069,0.0,3.584385,3.371069,0.0
71,1,3.629465,3.337642,0.0,3.629465,3.337642,0.0
72,1,3.673527,3.300467,0.0,3.673527,3.300467,0.0
73,1,3.716557,3.259586,0.0,3.716557,3.259586,0.0
74,1,3.758544,3.215045,0.0,3.758544,3.215045,0.0
75,1,3.799476,3.166895,0.0,3.799476,3.166895,0.0
76,1,3.839341,3.115188,0.0,3.839341,3.115188,0.0
77,1,3.878128,3.059984,0.0,3.878128,3.059984,0.0
78,1,3.915827,3.001343,0.0,3.915827,3.001343,0.0
79,1,3.952426,2.939333,0.0,3.952426,2.939333,0.0
80,1,3.987916,2.874022,0.0,3.987916,2.874022,0.0
81,1,4.022286,2.805484,0.0,4.022286,2.805484,0.0
82,1,4.055528,2.733797,0.0,4.055528,2.733797,0.0
83,1,4.08763,2.659039,0.0,4.08763,2.659039,0.0
84,1,4.118585,2.581296,0.0,4.118585,2.581296,0.0
85,1,4.148384,2.500654,0.0,4.148384,2.500654,0.0
86,1,4.177019,2.417205,0.0,4.177019,2.417205,0.0
87,1,4.20448,2.331042,0.0,4.20448,2.331042,0.0
88,1,4.230762,2.242261,0.0,4.230762,2.242261,0.0
89,1,4.255855,2.150962,0.0,4.255855,2.150962,0.0
90,1,4.279754,2.057248,0.0,4.279754,2.057248,0.0
91,1,4.302452,1.961225,0.0,4.302452,1.961225,0.0
92,1,4.323942,1.862999,0.0,4.323942,1.862999,0.0
93,1,4.344217,1.762681,0.0,4.344217,1.762681,0.0
94,1,4.363274,1.660384,0.0,4.363274,1.660384,0.0
95,1,4.381105,1.556223,0.0,4.381105,1.556223,0.0
96,1,4.397707,1.450315,0.0,4.397707,1.450315,0.0
97,1,4.413073,1.342777,0.0,4.413073,1.342777,0.0
98,1,4.427202,1.233733,0.0,4.427202,1.233733,0.0
99,1,4.440087,1.123303,0.0,4.440087,1.123303,0.0
100,1,4.451725,1.011611,0.0,4.451725,1.011611,0.0
101,1,4.462115,0.898784,0.0,4.462115,0.898784,0.0
102,1,4.471251,0.784948,0.0,4.471251,0.784948,0.0
103,1,4.479132,0.67023,0.0,4.479132,0.67023,0.0
104,1,4.485756,0.55476,0.0,4.485756,0.55476,0.0
105,1,4.49112,0.438666,0.0,4.49112,0.438666,0.0
106,1,4.495224,0.322081,0.0,4.495224,0.322081,0.0
107,1,4.498066,0.205133,0.0,4.498066,0.205133,0.0
108,1,4.499645,0.087955,0.0,4.499645,0.087955,0.0
