frame,x,y,z,dx,dy,dz
0,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000
1,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000
2,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000
3,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000
5,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000
6,0.251254,0.418389,10.000000,0.251254,0.418389,0.000000
7,0.502067,0.833844,10.000000,0.502067,0.833844,0.000000
8,0.751999,1.243449,10.000000,0.751999,1.243449,0.000000
9,1.000612,1.644333,10.000000,1.000612,1.644333,0.000000
10,1.247470,2.033683,10.000000,1.247470,2.033683,0.000000
11,1.492139,2.408768,10.000000,1.492139,2.408768,0.000000
12,1.734191,2.766958,10.000000,1.734191,2.766958,0.000000
13,1.973200,3.105739,10.000000,1.973200,3.105739,0.000000
14,2.208747,3.422736,10.000000,2.208747,3.422736,0.000000
15,2.440420,3.715724,10.000000,2.440420,3.715724,0.000000
16,2.667811,3.982650,10.000000,2.667811,3.982650,0.000000
17,2.890522,4.221640,10.000000,2.890522,4.221640,0.000000
18,3.108162,4.431018,10.000000,3.108162,4.431018,0.000000
19,3.320349,4.609316,10.000000,3.320349,4.609316,0.000000
20,3.526712,4.755283,10.000000,3.526712,4.755283,0.000000
21,3.726887,4.867895,10.000000,3.726887,4.867895,0.000000
22,3.920524,4.946362,10.000000,3.920524,4.946362,0.000000
23,4.107283,4.990134,10.000000,4.107283,4.990134,0.000000
24,4.286836,4.998903,10.000000,4.286836,4.998903,0.000000
25,4.458869,4.972609,10.000000,4.458869,4.972609,0.000000
26,4.623079,4.911436,10.000000,4.623079,4.911436,0.000000
27,4.779180,4.815813,10.000000,4.779180,4.815813,0.000000
28,4.926895,4.686410,10.000000,4.926895,4.686410,0.000000
29,5.065968,4.524135,10.000000,5.065968,4.524135,0.000000
30,5.196152,4.330127,10.000000,5.196152,4.330127,0.000000
31,5.317221,4.105746,10.000000,5.317221,4.105746,0.000000
32,5.428962,3.852566,10.000000,5.428962,3.852566,0.000000
33,5.531179,3.572363,10.000000,5.531179,3.572363,0.000000
34,5.623692,3.267103,10.000000,5.623692,3.267103,0.000000
35,5.706339,2.938926,10.000000,5.706339,2.938926,0.000000
36,5.778975,2.590135,10.000000,5.778975,2.590135,0.000000
37,5.841473,2.223176,10.000000,5.841473,2.223176,0.000000
38,5.893724,1.840623,10.000000,5.893724,1.840623,0.000000
39,5.935634,1.445159,10.000000,5.935634,1.445159,0.000000
40,5.967131,1.039558,10.000000,5.967131,1.039558,0.000000
41,5.988160,0.626666,10.000000,5.988160,0.626666,0.000000
42,5.998684,0.209378,10.000000,5.998684,0.209378,0.000000
43,5.998684,-0.209378,10.000000,5.998684,-0.209378,0.000000
44,5.988160,-0.626666,10.000000,5.988160,-0.626666,0.000000
45,5.967131,-1.039558,10.000000,5.967131,-1.039558,0.000000
46,5.935634,-1.445159,10.000000,5.935634,-1.445159,0.000000
47,5.893724,-1.840623,10.000000,5.893724,-1.840623,0.000000
48,5.841473,-2.223176,10.000000,5.841473,-2.223176,0.000000
49,5.778975,-2.590135,10.000000,5.778975,-2.590135,0.000000
50,5.706339,-2.938926,10.000000,5.706339,-2.938926,0.000000
51,5.623692,-3.267103,10.000000,5.623692,-3.267103,0.000000
52,5.531179,-3.572363,10.000000,5.531179,-3.572363,0.000000
53,5.428962,-3.852566,10.000000,5.428962,-3.852566,0.000000
54,5.317221,-4.105746,10.000000,5.317221,-4.105746,0.000000
55,5.196152,-4.330127,10.000000,5.196152,-4.330127,0.000000
56,5.065968,-4.524135,10.000000,5.065968,-4.524135,0.000000
57,4.926895,-4.686410,10.000000,4.926895,-4.686410,0.000000
58,4.779180,-4.815813,10.000000,4.779180,-4.815813,0.000000
59,4.623079,-4.911436,10.000000,4.623079,-4.911436,0.000000
60,4.458869,-4.972609,10.000000,4.458869,-4.972609,0.000000
61,4.286836,-4.998903,10.000000,4.286836,-4.998903,0.000000
