frame,x,y,z,dx,dy,dz
0,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000
1,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000
2,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000
3,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000
5,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000
6,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000
7,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000
8,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000
9,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000
10,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000
11,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000
12,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000
13,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000
14,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000
15,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000
16,0.075395,0.117264,4.000000,0.075395,0.117264,0.000000
17,0.150768,0.234397,4.000000,0.150768,0.234397,0.000000
18,0.226099,0.351266,4.000000,0.226099,0.351266,0.000000
19,0.301367,0.467741,4.000000,0.301367,0.467741,0.000000
20,0.376550,0.583691,4.000000,0.376550,0.583691,0.000000
21,0.451628,0.698985,4.000000,0.451628,0.698985,0.000000
22,0.526578,0.813494,4.000000,0.526578,0.813494,0.000000
23,0.601381,0.927090,4.000000,0.601381,0.927090,0.000000
24,0.676015,1.039646,4.000000,0.676015,1.039646,0.000000
25,0.750459,1.151033,4.000000,0.750459,1.151033,0.000000
26,0.824693,1.261129,4.000000,0.824693,1.261129,0.000000
27,0.898695,1.369808,4.000000,0.898695,1.369808,0.000000
28,0.972445,1.476949,4.000000,0.972445,1.476949,0.000000
29,1.045921,1.582432,4.000000,1.045921,1.582432,0.000000
30,1.119104,1.686138,4.000000,1.119104,1.686138,0.000000
31,1.191973,1.787951,4.000000,1.191973,1.787951,0.000000
32,1.264508,1.887756,4.000000,1.264508,1.887756,0.000000
33,1.336687,1.985441,4.000000,1.336687,1.985441,0.000000
34,1.408491,2.080898,4.000000,1.408491,2.080898,0.000000
35,1.479900,2.174017,4.000000,1.479900,2.174017,0.000000
36,1.550893,2.264696,4.000000,1.550893,2.264696,0.000000
37,1.621451,2.352832,4.000000,1.621451,2.352832,0.000000
38,1.691554,2.438326,4.000000,1.691554,2.438326,0.000000
39,1.761182,2.521082,4.000000,1.761182,2.521082,0.000000
40,1.830315,2.601007,4.000000,1.830315,2.601007,0.000000
41,1.898934,2.678012,4.000000,1.898934,2.678012,0.000000
42,1.967021,2.752010,4.000000,1.967021,2.752010,0.000000
43,2.034555,2.822917,4.000000,2.034555,2.822917,0.000000
44,2.101518,2.890655,4.000000,2.101518,2.890655,0.000000
45,2.167892,2.955148,4.000000,2.167892,2.955148,0.000000
46,2.233656,3.016322,4.000000,2.233656,3.016322,0.000000
47,2.298794,3.074109,4.000000,2.298794,3.074109,0.000000
48,2.363286,3.128445,4.000000,2.363286,3.128445,0.000000
49,2.427115,3.179268,4.000000,2.427115,3.179268,0.000000
50,2.490262,3.226521,4.000000,2.490262,3.226521,0.000000
51,2.552710,3.270151,4.000000,2.552710,3.270151,0.000000
52,2.614442,3.310110,4.000000,2.614442,3.310110,0.000000
53,2.675440,3.346351,4.000000,2.675440,3.346351,0.000000
54,2.735686,3.378836,4.000000,2.735686,3.378836,0.000000
55,2.795165,3.407526,4.000000,2.795165,3.407526,0.000000
56,2.853859,3.432390,4.000000,2.853859,3.432390,0.000000
57,2.911752,3.453401,4.000000,2.911752,3.453401,0.000000
58,2.968827,3.470534,4.000000,2.968827,3.470534,0.000000
59,3.025069,3.483769,4.000000,3.025069,3.483769,0.000000
60,3.080462,3.493094,4.000000,3.080462,3.493094,0.000000
61,3.134990,3.498496,4.000000,3.134990,3.498496,0.000000
62,3.188638,3.499969,4.000000,3.188638,3.499969,0.000000
63,3.241391,3.497513,4.000000,3.241391,3.497513,0.000000
64,3.293233,3.491130,4.000000,3.293233,3.491130,0.000000
65,3.344152,3.480827,4.000000,3.344152,3.480827,0.000000
66,3.394131,3.466615,4.000000,3.394131,3.466615,0.000000
67,3.443158,3.448511,4.000000,3.443158,3.448511,0.000000
68,3.491218,3.426535,4.000000,3.491218,3.426535,0.000000
69,3.538298,3.400711,4.000000,3.538298,3.400711,0.000000
70,3.584385,3.371069,4.000000,3.584385,3.371069,0.000000
71,3.629465,3.337642,4.000000,3.629465,3.337642,0.000000
72,3.673527,3.300467,4.000000,3.673527,3.300467,0.000000
73,3.716557,3.259586,4.000000,3.716557,3.259586,0.000000
74,3.758544,3.215045,4.000000,3.758544,3.215045,0.000000
75,3.799476,3.166895,4.000000,3.799476,3.166895,0.000000
76,3.839341,3.115188,4.000000,3.839341,3.115188,0.000000
77,3.878128,3.059984,4.000000,3.878128,3.059984,0.000000
78,3.915827,3.001343,4.000000,3.915827,3.001343,0.000000
79,3.952426,2.939333,4.000000,3.952426,2.939333,0.000000
80,3.987916,2.874022,4.000000,3.987916,2.874022,0.000000
81,4.022286,2.805484,4.000000,4.022286,2.805484,0.000000
82,4.055528,2.733797,4.000000,4.055528,2.733797,0.000000
83,4.087630,2.659039,4.000000,4.087630,2.659039,0.000000
84,4.118585,2.581296,4.000000,4.118585,2.581296,0.000000
85,4.148384,2.500654,4.000000,4.148384,2.500654,0.000000
86,4.177019,2.417205,4.000000,4.177019,2.417205,0.000000
87,4.204480,2.331042,4.000000,4.204480,2.331042,0.000000
88,4.230762,2.242261,4.000000,4.230762,2.242261,0.000000
89,4.255855,2.150962,4.000000,4.255855,2.150962,0.000000
90,4.279754,2.057248,4.000000,4.279754,2.057248,0.000000
91,4.302452,1.961225,4.000000,4.302452,1.961225,0.000000
