frame,x,y,z,dx,dy,dz
0,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000
1,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000
2,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000
3,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000
5,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000
6,0.226099,0.351266,4.000000,0.226099,0.351266,0.000000
7,0.451628,0.698985,4.000000,0.451628,0.698985,0.000000
8,0.676015,1.039646,4.000000,0.676015,1.039646,0.000000
9,0.898695,1.369808,4.000000,0.898695,1.369808,0.000000
10,1.119104,1.686138,4.000000,1.119104,1.686138,0.000000
11,1.336687,1.985441,4.000000,1.336687,1.985441,0.000000
12,1.550893,2.264696,4.000000,1.550893,2.264696,0.000000
13,1.761182,2.521082,4.000000,1.761182,2.521082,0.000000
14,1.967021,2.752010,4.000000,1.967021,2.752010,0.000000
15,2.167892,2.955148,4.000000,2.167892,2.955148,0.000000
16,2.363286,3.128445,4.000000,2.363286,3.128445,0.000000
17,2.552710,3.270151,4.000000,2.552710,3.270151,0.000000
18,2.735686,3.378836,4.000000,2.735686,3.378836,0.000000
19,2.911752,3.453401,4.000000,2.911752,3.453401,0.000000
20,3.080462,3.493094,4.000000,3.080462,3.493094,0.000000
21,3.241391,3.497513,4.000000,3.241391,3.497513,0.000000
22,3.394131,3.466615,4.000000,3.394131,3.466615,0.000000
23,3.538298,3.400711,4.000000,3.538298,3.400711,0.000000
24,3.673527,3.300467,4.000000,3.673527,3.300467,0.000000
25,3.799476,3.166895,4.000000,3.799476,3.166895,0.000000
26,3.915827,3.001343,4.000000,3.915827,3.001343,0.000000
27,4.022286,2.805484,4.000000,4.022286,2.805484,0.000000
28,4.118585,2.581296,4.000000,4.118585,2.581296,0.000000
29,4.204480,2.331042,4.000000,4.204480,2.331042,0.000000
30,4.279754,2.057248,4.000000,4.279754,2.057248,0.000000
31,4.344217,1.762681,4.000000,4.344217,1.762681,0.000000
32,4.397707,1.450315,4.000000,4.397707,1.450315,0.000000
33,4.440087,1.123303,4.000000,4.440087,1.123303,0.000000
34,4.471251,0.784948,4.000000,4.471251,0.784948,0.000000
35,4.491120,0.438666,4.000000,4.491120,0.438666,0.000000
36,4.499645,0.087955,4.000000,4.499645,0.087955,0.000000
37,4.496803,-0.263644,4.000000,4.496803,-0.263644,0.000000
38,4.482601,-0.612581,4.000000,4.482601,-0.612581,0.000000
39,4.457076,-0.955332,4.000000,4.457076,-0.955332,0.000000
40,4.420293,-1.288436,4.000000,4.420293,-1.288436,0.000000
41,4.372343,-1.608530,4.000000,4.372343,-1.608530,0.000000
42,4.313348,-1.912380,4.000000,4.313348,-1.912380,0.000000
43,4.243457,-2.196920,4.000000,4.243457,-2.196920,0.000000
44,4.162847,-2.459275,4.000000,4.162847,-2.459275,0.000000
45,4.071722,-2.696796,4.000000,4.071722,-2.696796,0.000000
46,3.970311,-2.907086,4.000000,3.970311,-2.907086,0.000000
47,3.858870,-3.088019,4.000000,3.858870,-3.088019,0.000000
48,3.737682,-3.237770,4.000000,3.737682,-3.237770,0.000000
49,3.607051,-3.354826,4.000000,3.607051,-3.354826,0.000000
50,3.467310,-3.438005,4.000000,3.467310,-3.438005,0.000000
51,3.318809,-3.486468,4.000000,3.318809,-3.486468,0.000000
52,3.161925,-3.499724,4.000000,3.161925,-3.499724,0.000000
53,2.997053,-3.477640,4.000000,2.997053,-3.477640,0.000000
54,2.824611,-3.420438,4.000000,2.824611,-3.420438,0.000000
55,2.645034,-3.328698,4.000000,2.645034,-3.328698,0.000000
56,2.458775,-3.203344,4.000000,2.458775,-3.203344,0.000000
57,2.266304,-3.045643,4.000000,2.266304,-3.045643,0.000000
58,2.068109,-2.857187,4.000000,2.068109,-2.857187,0.000000
59,1.864690,-2.639880,4.000000,1.864690,-2.639880,0.000000
60,1.656560,-2.395915,4.000000,1.656560,-2.395915,0.000000
61,1.444246,-2.127756,4.000000,1.444246,-2.127756,0.000000
62,1.228284,-1.838111,4.000000,1.228284,-1.838111,0.000000
63,1.009218,-1.529905,4.000000,1.009218,-1.529905,0.000000
64,0.787604,-1.206250,4.000000,0.787604,-1.206250,0.000000
65,0.564000,-0.870415,4.000000,0.564000,-0.870415,0.000000
66,0.338971,-0.525790,4.000000,0.338971,-0.525790,0.000000
67,0.113085,-0.175855,4.000000,0.113085,-0.175855,0.000000
68,-0.113085,0.175855,4.000000,-0.113085,0.175855,0.000000
69,-0.338971,0.525790,4.000000,-0.338971,0.525790,0.000000
70,-0.564000,0.870415,4.000000,-0.564000,0.870415,0.000000
71,-0.787604,1.206250,4.000000,-0.787604,1.206250,0.000000
72,-1.009218,1.529905,4.000000,-1.009218,1.529905,0.000000
73,-1.228284,1.838111,4.000000,-1.228284,1.838111,0.000000
74,-1.444246,2.127756,4.000000,-1.444246,2.127756,0.000000
75,-1.656560,2.395915,4.000000,-1.656560,2.395915,0.000000
76,-1.864690,2.639880,4.000000,-1.864690,2.639880,0.000000
77,-2.068109,2.857187,4.000000,-2.068109,2.857187,0.000000
78,-2.266304,3.045643,4.000000,-2.266304,3.045643,0.000000
79,-2.458775,3.203344,4.000000,-2.458775,3.203344,0.000000
80,-2.645034,3.328698,4.000000,-2.645034,3.328698,0.000000
81,-2.824611,3.420438,4.000000,-2.824611,3.420438,0.000000
82,-2.997053,3.477640,4.000000,-2.997053,3.477640,0.000000
83,-3.161925,3.499724,4.000000,-3.161925,3.499724,0.000000
84,-3.318809,3.486468,4.000000,-3.318809,3.486468,0.000000
85,-3.467310,3.438005,4.000000,-3.467310,3.438005,0.000000
86,-3.607051,3.354826,4.000000,-3.607051,3.354826,0.000000
87,-3.737682,3.237770,4.000000,-3.737682,3.237770,0.000000
88,-3.858870,3.088019,4.000000,-3.858870,3.088019,0.000000
