frame,health,ref_x,ref_y,ref_z,droid_x,droid_y,droid_z,est_x,est_y,est_z,err_2d
0,1,0.0,0.0,0.0,0.000726,0.000876,-0.000415,0.0,0.0,0.0,0.0
1,1,-0.0178,0.0018,-0.0049,0.000726,0.000876,-0.000415,-0.0178,0.0018,-0.0049,0.0
2,1,-0.0331,0.0026,-0.0096,0.000726,0.000876,-0.000415,-0.0331,0.0026,-0.0096,0.0
3,1,-0.0457,0.0023,-0.0141,-8.3e-05,0.000175,-0.000594,-0.0457,0.0023,-0.0141,0.0
4,1,-0.0556,0.0009,-0.0184,-8.3e-05,0.000175,-0.000594,-0.0556,0.0009,-0.0184,0.0
5,1,-0.0629,-0.0015,-0.0226,-8.3e-05,0.000175,-0.000594,-0.0629,-0.0015,-0.0226,0.0
6,1,-0.0674,-0.0051,-0.0265,-0.003483,-0.000898,-0.000915,-0.0674,-0.0051,-0.0265,0.0
7,1,-0.0692,-0.0098,-0.0303,-0.003483,-0.000898,-0.000915,-0.0692,-0.0098,-0.0303,0.0
8,1,-0.0682,-0.0156,-0.0339,-0.003483,-0.000898,-0.000915,-0.0682,-0.0156,-0.0339,0.0
9,1,-0.0644,-0.0226,-0.0374,-0.001446,0.001223,-0.00118,-0.0644,-0.0226,-0.0374,0.0
10,1,-0.0577,-0.0308,-0.0407,-0.001446,0.001223,-0.00118,-0.0577,-0.0308,-0.0407,0.0
11,1,-0.0482,-0.0402,-0.0438,-0.001446,0.001223,-0.00118,-0.0482,-0.0402,-0.0438,0.0
12,1,-0.0357,-0.0509,-0.0468,-2.9e-05,0.003113,-0.000931,-0.0357,-0.0509,-0.0468,0.0
13,1,-0.0203,-0.0628,-0.0496,-2.9e-05,0.003113,-0.000931,-0.0203,-0.0628,-0.0496,0.0
14,1,-0.002,-0.076,-0.0524,-2.9e-05,0.003113,-0.000931,-0.002,-0.076,-0.0524,0.0
15,1,0.0194,-0.0904,-0.0549,0.000184,0.003584,-0.001379,0.0194,-0.0904,-0.0549,0.0
