frame,x,y
0,-0.000000,0.000000
1,-0.000003,-0.007670
2,-0.000003,-0.006425
3,-0.000003,-0.006216
4,-0.000003,-0.006297
5,0.000044,0.101469
6,0.000050,0.115959
7,0.000047,0.116133
8,0.000047,0.117592
9,0.000047,0.121321
10,0.000050,0.129577
11,0.000050,0.131938
12,0.000047,0.131910
13,0.000047,0.131006
14,0.000047,0.131126
15,0.000050,0.130718
16,0.000053,0.130831
17,0.000053,0.130848
18,0.000056,0.131479
19,0.000056,0.131329
20,0.000059,0.130768
21,0.000062,0.129875
22,0.000062,0.129300
23,0.000065,0.128844
24,0.000071,0.128810
25,0.000071,0.128953
26,0.000077,0.127924
27,0.000080,0.127037
28,0.000086,0.126723
29,0.000092,0.125739
30,0.000095,0.125463
31,0.000101,0.123958
32,0.000107,0.123416
33,0.000112,0.121661
34,0.000112,0.119901
35,0.000121,0.119369
36,0.000127,0.118033
37,0.000136,0.116636
38,0.000139,0.115128
39,0.000148,0.114355
40,0.000160,0.113480
41,0.000169,0.113243
42,0.000181,0.115608
43,0.000189,0.117673
44,0.000198,0.119170
45,0.000210,0.121005
46,0.000219,0.123081
47,0.000231,0.127011
48,0.000240,0.130086
49,0.000252,0.132631
50,0.000260,0.134450
51,0.000272,0.136843
52,0.000284,0.138289
53,0.000293,0.139492
54,0.000305,0.139391
55,0.000314,0.139063
56,0.000329,0.139640
57,0.000337,0.140762
58,0.000352,0.140806
59,0.000361,0.140506
60,0.000379,0.140809
61,0.000391,0.141398
62,0.000411,0.140755
63,0.000426,0.140976
64,0.000441,0.141942
65,0.000453,0.143552
66,0.000465,0.147617
67,0.000482,0.152096
68,0.000500,0.154799
69,0.000518,0.156492
70,0.000536,0.159025
71,0.000551,0.162419
72,0.000565,0.164400
73,0.000580,0.168050
74,0.000592,0.170996
75,0.000607,0.175158
76,0.000627,0.177505
77,0.000645,0.178036
78,0.000663,0.179321
79,0.000681,0.180343
80,0.000699,0.179789
81,0.000722,0.177851
82,0.000740,0.177568
83,0.000764,0.176266
84,0.000787,0.174204
85,0.000808,0.170541
86,0.000835,0.165442
87,0.000858,0.162736
88,0.000882,0.163464
89,0.000906,0.164956
90,0.000926,0.167820
91,0.000947,0.169668
92,0.000974,0.169406
93,0.001003,0.165708
94,0.001036,0.164343
95,0.001060,0.164111
96,0.001083,0.161460
97,0.001119,0.152730
98,0.001154,0.148270
99,0.001181,0.150162
100,0.001228,0.152060
101,0.001276,0.152223
102,0.001326,0.150489
103,0.001391,0.146354
104,0.001459,0.145583
105,0.001539,0.136889
106,0.001610,0.125734
107,0.001711,0.116247
108,0.001817,0.111348
109,0.001891,0.075340
110,0.001977,0.045180
111,0.001862,0.052856
112,0.001918,-0.075227
113,0.001838,0.123627
114,0.004460,1.434014
115,0.010729,1.996762
116,0.012041,2.008056
117,0.012686,2.097995
118,0.012813,2.088367
119,0.013438,2.147369
120,0.013831,2.228905
121,0.015735,2.411671
122,0.007746,-0.192454
123,0.009708,-0.727566
124,0.009622,-0.772273
125,0.009409,-0.793854
126,0.009282,-0.797854
127,0.009152,-0.798739
128,0.009001,-0.799920
129,0.008829,-0.810210
130,0.008675,-0.817968
131,0.008515,-0.828670
132,0.008320,-0.833666
133,0.008131,-0.854600
134,0.007903,-0.857350
135,0.007707,-0.871191
136,0.007447,-0.887329
137,0.007189,-0.892045
138,0.006926,-0.893225
139,0.006707,-0.894463
140,0.006553,-0.899033
141,0.006467,-0.904583
142,0.006355,-0.911044
143,0.006266,-0.917913
144,0.006213,-0.926590
145,0.006148,-0.929256
146,0.006154,-0.938425
147,0.006133,-0.939232
148,0.006082,-0.933822
149,0.006008,-0.928852
150,0.005997,-0.930284
151,0.005970,-0.931281
152,0.005926,-0.929574
153,0.005890,-0.929386
154,0.005840,-0.932704
155,0.005757,-0.930902
156,0.005674,-0.921614
157,0.005686,-0.931628
158,0.005647,-0.934428
159,0.005671,-0.948674
160,0.005733,-0.973601
161,0.005792,-0.999298
162,0.005789,-1.012456
163,0.005760,-1.019896
164,0.005730,-1.034821
165,0.005600,-1.029309
166,0.005417,-1.013401
167,0.005186,-0.989509
168,0.005073,-0.988395
169,0.004964,-0.986534
170,0.004893,-0.987262
171,0.004872,-0.994333
172,0.004789,-0.988024
173,0.004816,-1.000735
174,0.004792,-1.005470
175,0.004792,-1.011766
176,0.004845,-1.028975
177,0.004913,-1.048192
178,0.004916,-1.055162
179,0.004857,-1.053877
180,0.004756,-1.042800
181,0.004680,-1.035303
182,0.004588,-1.024968
183,0.004573,-1.026143
184,0.004534,-1.020856
185,0.004472,-1.012145
186,0.004452,-1.009731
187,0.004446,-1.004196
188,0.004386,-0.992317
189,0.004345,-0.984517
190,0.004384,-0.989160
191,0.004369,-0.985267
192,0.004357,-0.983330
193,0.004375,-0.984781
194,0.004357,-0.981617
195,0.004286,-0.974470
196,0.004274,-0.973246
197,0.004238,-0.958945
198,0.004259,-0.952601
199,0.004150,-0.920656
200,0.003931,-0.861673
201,0.003697,-0.785066
202,0.003667,-0.748514
203,0.003534,-0.696672
204,0.002868,-0.534746
205,0.007699,1.817163
206,0.007941,1.844165
207,0.008122,1.870209
208,0.005881,1.629769
209,0.005526,1.592306
210,0.005573,1.587548
211,0.005354,1.548310
212,0.005126,1.509158
213,0.004685,1.427368
214,0.004179,1.318638
215,0.003851,1.217723
216,0.003744,1.153450
217,0.003664,1.081721
218,0.003605,0.999725
219,0.003516,0.879197
220,0.003561,0.732322
221,0.003768,0.617728
222,0.004221,0.463499
223,0.004833,0.384141
224,0.005724,0.332070
225,0.006606,0.202916
226,0.007373,0.120315
227,0.007509,0.090068
228,0.007260,0.060748
229,0.007124,0.060321
230,0.007228,0.088360
231,0.007654,0.098077
232,0.008071,0.091399
233,0.008376,0.056232
234,0.008613,0.027694
235,0.008732,0.022065
236,0.008808,0.044664
237,0.008563,0.100259
238,0.008296,0.139705
239,0.007932,0.172940
240,0.007929,0.154463
241,0.007850,0.134300
242,0.007773,0.147982
243,0.007684,0.176641
244,0.007657,0.187802
245,0.007625,0.201116
246,0.007589,0.218710
247,0.007568,0.233982
248,0.007574,0.242952
249,0.007595,0.244086
250,0.007598,0.246936
251,0.007607,0.245224
252,0.007607,0.246090
253,0.007619,0.244099
254,0.007622,0.241032
255,0.007642,0.233691
256,0.007663,0.226933
257,0.007663,0.220987
258,0.007642,0.212897
259,0.007645,0.207397
260,0.007642,0.199634
261,0.007622,0.192399
262,0.007601,0.188060
263,0.007607,0.181987
264,0.007630,0.176334
265,0.007645,0.169498
266,0.007666,0.165092
267,0.007699,0.164906
268,0.007728,0.167309
269,0.007743,0.171506
270,0.007776,0.174784
271,0.007814,0.175566
272,0.007847,0.175495
273,0.007891,0.177727
274,0.007923,0.186662
275,0.007965,0.190924
276,0.008110,0.189234
277,0.008264,0.185690
278,0.008388,0.182433
279,0.008510,0.175963
280,0.008622,0.163714
281,0.008717,0.144490
282,0.008835,0.126261
283,0.009004,0.105947
284,0.009241,0.067838
285,0.009545,0.032297
286,0.009782,0.009564
287,0.010028,-0.018154
288,0.010297,-0.039402
289,0.010504,-0.048962
290,0.010667,-0.023482
291,0.010839,0.011371
292,0.011046,0.051170
293,0.011233,0.084791
294,0.011401,0.117990
295,0.011543,0.139955
296,0.011641,0.148146
297,0.011706,0.149171
298,0.011780,0.153827
299,0.011848,0.151341
300,0.011904,0.137552
301,0.011955,0.127310
302,0.011999,0.106940
303,0.012044,0.076933
304,0.012094,0.025085
305,0.012180,-0.019763
306,0.012215,-0.047420
307,0.012171,-0.062180
308,0.012162,-0.056963
309,0.012162,-0.048790
310,0.012195,-0.042611
311,0.012203,-0.034899
312,0.012206,-0.025810
313,0.012212,-0.022479
314,0.012165,-0.013290
315,0.012183,-0.012285
316,0.012485,-0.031894
317,0.012837,-0.060283
318,0.013198,-0.093435
319,0.013506,-0.118492
320,0.013852,-0.144345
321,0.014204,-0.167417
322,0.014515,-0.183946
323,0.014737,-0.189816
324,0.014897,-0.185505
325,0.015063,-0.172428
326,0.015240,-0.162155
