frame,x,y
0,-0.000000,0.000000
1,-0.000000,0.004439
2,-0.000000,0.004931
3,-0.000000,0.004879
4,-0.000000,0.004659
5,0.000002,0.016169
6,0.000004,0.006105
7,0.000004,0.005741
8,0.000006,0.002339
9,0.000006,-0.001618
10,0.000006,-0.005366
11,0.000008,-0.010145
12,0.000012,-0.015376
13,0.000012,-0.021142
14,0.000015,-0.027570
15,0.000017,-0.034251
16,0.000023,-0.040849
17,0.000027,-0.047385
18,0.000033,-0.053755
19,0.000040,-0.061193
20,0.000048,-0.068498
21,0.000056,-0.076033
22,0.000064,-0.083142
23,0.000071,-0.089014
24,0.000079,-0.093109
25,0.000085,-0.096372
26,0.000087,-0.098191
27,0.000092,-0.099591
28,0.000098,-0.102083
29,0.000100,-0.105213
30,0.000106,-0.107193
31,0.000114,-0.109407
32,0.000117,-0.111197
33,0.000121,-0.113905
34,0.000125,-0.118515
35,0.000131,-0.121827
36,0.000135,-0.124800
37,0.000139,-0.126779
38,0.000141,-0.128932
39,0.000135,-0.126831
40,0.000121,-0.120280
41,0.000090,-0.099183
42,0.000075,-0.088402
43,0.000067,-0.079912
44,0.000062,-0.075109
45,0.000058,-0.071108
46,0.000056,-0.066128
47,0.000054,-0.064258
48,0.000056,-0.068847
49,0.000058,-0.073449
50,0.000058,-0.077699
51,0.000056,-0.077030
52,0.000056,-0.079439
53,0.000058,-0.082416
54,0.000058,-0.085127
55,0.000058,-0.085337
56,0.000054,-0.083744
57,0.000050,-0.080938
58,0.000046,-0.076318
59,0.000044,-0.074167
60,0.000040,-0.070742
61,0.000039,-0.067486
62,0.000037,-0.065322
63,0.000037,-0.065003
64,0.000037,-0.064864
65,0.000039,-0.063589
66,0.000037,-0.059001
67,0.000037,-0.054761
68,0.000031,-0.050637
69,0.000029,-0.048037
70,0.000027,-0.048814
71,0.000029,-0.051117
72,0.000031,-0.058643
73,0.000039,-0.064910
74,0.000044,-0.068843
75,0.000050,-0.071841
76,0.000052,-0.071395
77,0.000052,-0.069845
78,0.000060,-0.081008
79,0.000065,-0.088322
80,0.000083,-0.101257
81,0.000102,-0.118396
82,0.000116,-0.127555
83,0.000114,-0.122800
84,0.000108,-0.113443
85,0.000092,-0.092656
86,0.000102,-0.102906
87,0.000139,-0.129710
88,0.000198,-0.166675
89,0.000206,-0.169117
90,0.000218,-0.173661
91,0.000227,-0.178937
92,0.000223,-0.175904
93,0.000225,-0.175628
94,0.000231,-0.177099
95,0.000325,-0.219860
96,0.000527,-0.291049
97,0.000837,-0.372810
98,0.001178,-0.443438
99,0.001215,-0.449429
100,0.001192,-0.443933
101,0.001142,-0.434233
102,0.001040,-0.414825
103,0.001022,-0.412078
104,0.001111,-0.431494
105,0.001103,-0.431349
106,0.001068,-0.425284
107,0.001040,-0.420513
108,0.000947,-0.400786
109,0.000872,-0.382137
110,0.000720,-0.347367
111,0.000961,-0.406546
112,0.001180,-0.448974
113,0.001172,-0.449071
114,0.000914,-0.396952
115,0.000445,-0.274311
116,0.000289,-0.219880
117,0.005074,-0.787554
118,0.005009,-0.775306
119,0.004932,-0.764409
120,0.012967,-0.951780
121,0.013169,-0.970285
122,0.013360,-0.976092
123,0.020394,-0.155913
124,0.021298,-0.441365
125,0.038021,-0.731464
126,0.038040,-0.727154
127,0.054725,-0.293047
128,0.054703,-0.272526
129,0.080624,-0.296027
130,0.081144,-0.514712
131,0.082041,-0.696835
132,0.112589,-0.441909
133,0.112676,-0.501099
134,0.112729,-0.571321
135,0.153858,0.405326
136,0.153696,0.378663
137,0.193602,0.172841
138,0.193600,0.213195
139,0.193615,0.241821
140,0.241298,-0.109520
141,0.240998,-0.080872
142,0.294144,-0.086008
143,0.294040,-0.077534
144,0.294103,-0.070346
145,0.349581,0.089451
146,0.349515,0.084809
147,0.405855,0.115156
148,0.405972,0.125884
149,0.405915,0.135237
150,0.461944,0.147770
151,0.462000,0.145806
152,0.465146,0.128028
153,0.526488,0.203789
154,0.525936,0.191212
155,0.587256,0.156059
156,0.587473,0.149945
157,0.587402,0.142085
158,0.657074,0.094831
159,0.656947,0.096313
160,0.727734,0.073462
161,0.727746,0.069867
162,0.727451,0.072338
163,0.796691,-0.033801
164,0.796729,-0.031456
165,0.868819,-0.059406
166,0.869318,-0.077423
167,0.869628,-0.082654
168,0.934205,0.003530
169,0.934066,0.002883
170,1.011235,-0.145845
171,1.011356,-0.138809
172,1.076724,-0.045568
173,1.077292,-0.038368
174,1.077954,-0.031529
175,1.154002,-0.153334
176,1.154562,-0.129507
177,1.217051,-0.178607
178,1.217771,-0.144648
179,1.218079,-0.128158
180,1.289743,-0.411260
181,1.289801,-0.397705
182,1.350422,-0.462659
183,1.351304,-0.426350
184,1.422799,-0.810195
185,1.422489,-0.795707
186,1.490635,-1.993202
187,1.490712,-1.874538
188,1.490495,-1.738369
189,1.491172,-1.593421
190,1.492728,-1.469619
191,1.493996,-1.293752
192,1.492038,-1.064179
193,1.490668,-0.946553
194,1.489334,-0.855254
195,1.488187,-0.762906
196,1.487420,-0.653098
197,1.487172,-0.529201
198,1.487775,-0.439613
199,1.488306,-0.414883
200,1.488473,-0.402745
201,1.488358,-0.393066
202,1.488595,-0.365282
203,1.489105,-0.335795
204,1.489380,-0.321048
205,1.489640,-0.314872
206,1.489882,-0.321782
207,1.490075,-0.352629
208,1.490073,-0.444740
209,1.489825,-0.527774
210,1.490473,-0.660150
211,1.491463,-0.766219
212,1.492308,-0.848820
213,1.493255,-0.914764
214,1.600392,-0.697928
215,1.600833,-0.722645
216,1.645413,-0.689802
217,1.645538,-0.702672
218,1.645937,-0.747665
219,1.713516,-1.585489
220,1.714296,-1.597344
221,1.763812,-2.559913
222,1.763488,-2.539061
223,1.801935,-1.736989
224,1.801488,-1.704032
