frame,x,y
0,0.000000,0.000000
1,-0.000000,-0.009940
2,-0.000000,-0.010024
3,0.000000,-0.004063
4,0.000000,0.001882
5,0.000000,0.000677
6,-0.000000,-0.013394
7,-0.000001,0.000851
8,-0.000003,0.040213
9,-0.000015,0.108283
10,-0.000031,0.160050
11,-0.000043,0.181190
12,-0.000059,0.183426
13,-0.000067,0.177046
14,-0.000111,0.206471
15,-0.000142,0.205297
16,-0.000150,0.214071
17,-0.000066,0.193357
18,-0.000080,0.229104
19,-0.000082,0.232557
20,-0.000101,0.253693
21,-0.000092,0.233871
22,-0.000090,0.199647
23,-0.000096,0.164078
24,-0.000099,0.147111
25,-0.000120,0.140197
26,-0.000142,0.146443
27,-0.000129,0.140472
28,-0.000082,0.103380
29,-0.000030,0.058829
30,-0.000021,0.052375
31,-0.000026,0.057212
32,-0.000046,0.059379
33,-0.000056,0.055162
34,-0.000054,0.065932
35,-0.000049,0.062128
36,-0.000059,0.052756
37,-0.000048,0.065831
38,-0.000057,0.043877
39,-0.000049,0.031767
40,-0.000035,-0.042106
41,-0.000014,-0.093583
42,-0.000020,-0.126896
43,-0.000024,-0.144779
44,-0.000024,-0.143978
45,-0.000014,-0.107673
46,-0.000005,-0.062055
47,-0.000002,-0.038592
48,-0.000007,-0.078919
49,-0.000003,-0.041937
50,-0.000002,-0.036795
51,-0.000002,-0.027139
52,-0.000001,-0.031150
53,-0.000002,-0.036608
54,-0.000002,-0.043325
55,-0.000003,-0.049090
56,-0.000004,-0.056496
57,-0.000004,-0.060774
58,-0.000006,-0.070447
59,-0.000017,-0.109361
60,-0.000006,-0.057495
61,-0.000006,-0.065621
62,-0.000004,-0.035210
63,-0.000002,-0.035268
64,-0.000001,-0.008725
65,-0.000001,-0.011267
66,-0.000001,-0.006203
67,-0.000001,0.000647
68,-0.000002,-0.013437
69,-0.000003,-0.042613
70,-0.000004,-0.052576
71,-0.000009,-0.071097
72,-0.000044,-0.192201
73,-0.000059,-0.230065
