frame,dx,dy,dz,dist_2d,dist_3d
0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,-0.00029436,0.00007854,0.00000000,0.00030466,0.00030466
2,-0.00032333,0.00010218,0.00000000,0.00033909,0.00033909
3,-0.00028217,0.00000856,0.00000000,0.00028230,0.00028230
4,-0.00032278,-0.00003428,0.00000000,0.00032460,0.00032460
5,-0.00035739,0.00002225,0.00000000,0.00035808,0.00035808
6,-0.00027467,-0.00011119,0.00000000,0.00029632,0.00029632
7,-0.00023445,-0.00022150,-0.00000012,0.00032254,0.00032254
8,-0.00026988,-0.00018412,-0.00000012,0.00032670,0.00032670
9,-0.00043005,-0.00004535,-0.00000012,0.00043243,0.00043243
10,-0.00054561,0.00002516,-0.00000018,0.00054619,0.00054619
11,-0.00065517,0.00014876,-0.00000024,0.00067185,0.00067185
12,-0.00071987,0.00019828,-0.00000024,0.00074668,0.00074668
13,-0.00080593,0.00026525,-0.00000030,0.00084846,0.00084846
14,-0.00088001,0.00032166,-0.00000036,0.00093695,0.00093695
15,-0.00091776,0.00035461,-0.00000042,0.00098388,0.00098388
16,-0.00092248,0.00036143,-0.00000048,0.00099076,0.00099076
17,-0.00092431,0.00036756,-0.00000042,0.00099471,0.00099471
18,-0.00091832,0.00035894,-0.00000048,0.00098597,0.00098597
19,-0.00091023,0.00033860,-0.00000048,0.00097117,0.00097117
20,-0.00090310,0.00025723,-0.00000042,0.00093902,0.00093902
21,-0.00090556,0.00016299,-0.00000042,0.00092011,0.00092011
22,-0.00090057,0.00011654,-0.00000036,0.00090808,0.00090808
23,-0.00087107,-0.00004706,-0.00000042,0.00087234,0.00087234
24,-0.00085611,-0.00010552,-0.00000036,0.00086259,0.00086259
25,-0.00081812,-0.00022185,-0.00000042,0.00084766,0.00084766
26,-0.00079049,-0.00030037,-0.00000042,0.00084564,0.00084564
27,-0.00076615,-0.00031318,-0.00000048,0.00082769,0.00082769
28,-0.00077157,-0.00030527,-0.00000042,0.00082976,0.00082976
29,-0.00077055,-0.00030117,-0.00000042,0.00082732,0.00082732
30,-0.00077263,-0.00029071,-0.00000048,0.00082551,0.00082551
31,-0.00077523,-0.00027490,-0.00000042,0.00082253,0.00082253
32,-0.00078244,-0.00026803,-0.00000036,0.00082708,0.00082708
33,-0.00079021,-0.00025082,-0.00000042,0.00082906,0.00082906
34,-0.00079251,-0.00025243,-0.00000042,0.00083175,0.00083175
35,-0.00077381,-0.00024304,-0.00000036,0.00081108,0.00081108
36,-0.00076747,-0.00021156,-0.00000036,0.00079609,0.00079609
37,-0.00075925,-0.00019403,-0.00000036,0.00078365,0.00078365
38,-0.00076786,-0.00017845,-0.00000036,0.00078832,0.00078832
39,-0.00077007,-0.00017655,-0.00000036,0.00079005,0.00079005
40,-0.00077724,-0.00017280,-0.00000036,0.00079621,0.00079621
41,-0.00076793,-0.00017652,-0.00000036,0.00078796,0.00078796
42,-0.00075548,-0.00019947,-0.00000036,0.00078137,0.00078137
43,-0.00074627,-0.00022570,-0.00000036,0.00077965,0.00077965
44,-0.00072595,-0.00025650,-0.00000036,0.00076993,0.00076993
45,-0.00071605,-0.00026153,-0.00000036,0.00076232,0.00076232
46,-0.00071256,-0.00026972,-0.00000042,0.00076190,0.00076190
47,-0.00070590,-0.00029227,-0.00000036,0.00076401,0.00076401
48,-0.00070475,-0.00030654,-0.00000036,0.00076853,0.00076853
49,-0.00070927,-0.00031122,-0.00000042,0.00077455,0.00077455
50,-0.00069160,-0.00035733,-0.00000042,0.00077846,0.00077846
51,-0.00068002,-0.00036964,-0.00000048,0.00077400,0.00077400
52,-0.00066747,-0.00040477,-0.00000048,0.00078061,0.00078061
53,-0.00067487,-0.00036586,-0.00000048,0.00076766,0.00076766
54,-0.00068143,-0.00034670,-0.00000042,0.00076456,0.00076456
55,-0.00068609,-0.00032774,-0.00000042,0.00076035,0.00076035
56,-0.00069265,-0.00030867,-0.00000042,0.00075832,0.00075832
57,-0.00069467,-0.00030127,-0.00000042,0.00075718,0.00075718
58,-0.00068891,-0.00029859,-0.00000036,0.00075083,0.00075083
59,-0.00069374,-0.00030797,-0.00000042,0.00075903,0.00075903
60,-0.00069578,-0.00031823,-0.00000042,0.00076510,0.00076510
61,-0.00071017,-0.00033095,-0.00000048,0.00078350,0.00078350
62,-0.00074207,-0.00029869,-0.00000048,0.00079993,0.00079993
63,-0.00074887,-0.00025920,-0.00000042,0.00079246,0.00079246
64,-0.00077639,-0.00022750,-0.00000042,0.00080903,0.00080903
65,-0.00076009,-0.00025676,-0.00000042,0.00080228,0.00080228
66,-0.00072807,-0.00028563,-0.00000042,0.00078209,0.00078209
67,-0.00072822,-0.00027485,-0.00000048,0.00077836,0.00077836
68,-0.00072890,-0.00024839,-0.00000036,0.00077006,0.00077006
69,-0.00077467,-0.00021640,-0.00000042,0.00080433,0.00080433
70,-0.00076359,-0.00024818,-0.00000042,0.00080291,0.00080291
71,-0.00077382,-0.00028937,-0.00000048,0.00082615,0.00082615
72,-0.00078633,-0.00029363,-0.00000048,0.00083936,0.00083936
73,-0.00081209,-0.00026729,-0.00000048,0.00085494,0.00085494
74,-0.00085333,-0.00020739,-0.00000042,0.00087817,0.00087817
75,-0.00088254,-0.00017504,-0.00000048,0.00089973,0.00089973
76,-0.00070061,-0.00015779,-0.00000030,0.00071816,0.00071816
77,-0.00070453,-0.00015333,-0.00000036,0.00072103,0.00072103
78,-0.00070186,-0.00015182,-0.00000030,0.00071809,0.00071809
79,-0.00070814,-0.00014899,-0.00000030,0.00072365,0.00072365
80,-0.00071028,-0.00015800,-0.00000036,0.00072764,0.00072764
81,-0.00072147,-0.00019151,-0.00000030,0.00074645,0.00074645
82,-0.00074872,-0.00017424,-0.00000030,0.00076873,0.00076873
83,-0.00078411,-0.00011366,-0.00000030,0.00079231,0.00079231
84,-0.00077663,-0.00017632,-0.00000036,0.00079639,0.00079639
85,-0.00075621,-0.00018726,-0.00000036,0.00077905,0.00077905
86,-0.00072539,-0.00026571,-0.00000030,0.00077253,0.00077253
87,-0.00075382,-0.00019063,-0.00000036,0.00077755,0.00077755
88,-0.00074358,-0.00021211,-0.00000036,0.00077324,0.00077324
89,-0.00073512,-0.00022161,-0.00000036,0.00076780,0.00076780
90,-0.00080267,-0.00015494,-0.00000042,0.00081748,0.00081748
91,-0.00080563,-0.00010875,-0.00000036,0.00081294,0.00081294
92,-0.00078265,0.00008841,-0.00000030,0.00078763,0.00078763
93,-0.00049675,-0.00000874,-0.00000018,0.00049683,0.00049683
94,-0.00085052,0.00011865,-0.00000036,0.00085875,0.00085875
95,-0.00079957,0.00006646,-0.00000030,0.00080232,0.00080232
96,-0.06510636,0.09592131,-0.00903642,0.11592988,0.11628153
97,-0.06511066,0.09590416,-0.00903356,0.11591810,0.11626956
98,-0.06495353,0.09576765,-0.00900972,0.11571691,0.11606713
99,-0.06483523,0.09563934,-0.00898147,0.11554432,0.11589287
