frame,dx,dy,dz
0,0.00000000,0.00000000,0.00000000
1,-0.00007670,-0.00023272,-0.00000006
2,-0.00006812,-0.00023468,-0.00000006
3,-0.00008777,-0.00009512,0.00000000
4,-0.00011760,0.00004407,0.00000000
5,-0.00014078,0.00001585,0.00000000
6,-0.00003911,-0.00031360,-0.00000006
7,-0.00022109,0.00001991,-0.00000018
8,-0.00004259,0.00094151,-0.00000089
9,-0.00047796,0.00253521,-0.00000453
10,-0.00058919,0.00374724,-0.00000948
11,-0.00108939,0.00424218,-0.00001317
12,-0.00165414,0.00429454,-0.00001812
13,-0.00220635,0.00414516,-0.00002068
14,-0.00279561,0.00483409,-0.00003392
15,-0.00343497,0.00480661,-0.00004345
16,-0.00349689,0.00501202,-0.00004607
17,-0.00184891,0.00452706,-0.00002015
18,-0.00162636,0.00536401,-0.00002456
19,-0.00159597,0.00544483,-0.00002509
20,-0.00176493,0.00593968,-0.00003105
21,-0.00181138,0.00547560,-0.00002831
22,-0.00224588,0.00467432,-0.00002754
23,-0.00291044,0.00384154,-0.00002956
24,-0.00320503,0.00344429,-0.00003028
25,-0.00367811,0.00328243,-0.00003684
26,-0.00385383,0.00342865,-0.00004351
27,-0.00376467,0.00328885,-0.00003958
28,-0.00344571,0.00242042,-0.00002521
29,-0.00191371,0.00137735,-0.00000912
30,-0.00143946,0.00122625,-0.00000632
31,-0.00169529,0.00133950,-0.00000811
32,-0.00273938,0.00139023,-0.00001419
33,-0.00313162,0.00129149,-0.00001705
34,-0.00293817,0.00154367,-0.00001669
35,-0.00279579,0.00145459,-0.00001508
36,-0.00333597,0.00123516,-0.00001824
37,-0.00271300,0.00154129,-0.00001478
38,-0.00338959,0.00102728,-0.00001758
39,-0.00317563,0.00074376,-0.00001496
40,-0.00294535,-0.00098583,-0.00001073
41,-0.00157553,-0.00219106,-0.00000441
42,-0.00168668,-0.00297100,-0.00000602
43,-0.00190205,-0.00338969,-0.00000745
44,-0.00190649,-0.00337094,-0.00000751
45,-0.00136099,-0.00252094,-0.00000423
46,-0.00077377,-0.00145290,-0.00000149
47,-0.00071894,-0.00090354,-0.00000066
48,-0.00089962,-0.00184772,-0.00000226
49,-0.00046752,-0.00098186,-0.00000095
50,-0.00031112,-0.00086149,-0.00000066
51,-0.00035748,-0.00063541,-0.00000048
52,-0.00057173,-0.00072932,-0.00000042
53,-0.00067753,-0.00085710,-0.00000054
54,-0.00075243,-0.00101437,-0.00000072
55,-0.00074205,-0.00114934,-0.00000083
56,-0.00077076,-0.00132273,-0.00000119
57,-0.00083079,-0.00142290,-0.00000137
58,-0.00106484,-0.00164937,-0.00000191
59,-0.00156679,-0.00256045,-0.00000513
60,-0.00076880,-0.00134613,-0.00000173
61,-0.00057001,-0.00153638,-0.00000191
62,-0.00042227,-0.00082438,-0.00000113
63,-0.00002984,-0.00082572,-0.00000072
64,0.00003363,-0.00020427,-0.00000024
65,0.00015298,-0.00026378,-0.00000042
66,0.00004248,-0.00014523,-0.00000024
67,-0.00003397,0.00001515,-0.00000024
68,-0.00006762,-0.00031460,-0.00000048
69,-0.00008533,-0.00099769,-0.00000101
70,-0.00003045,-0.00123096,-0.00000137
71,-0.00084154,-0.00166459,-0.00000268
72,-0.00209537,-0.00450000,-0.00001341
73,-0.00263635,-0.00538650,-0.00001824
74,-0.00236197,-0.00515038,-0.00001752
75,-0.00241922,-0.00531535,-0.00001955
76,-0.00270382,-0.00600054,-0.00002444
77,-0.00120276,-0.00234947,-0.00000453
78,-0.00018295,-0.00103347,-0.00000107
79,-0.00014620,-0.00104136,-0.00000101
80,-0.00043780,-0.00117315,-0.00000226
81,0.00004742,-0.00090941,-0.00000095
82,0.00005318,-0.00032730,-0.00000024
83,-0.00016220,0.00012641,0.00000000
84,0.00014279,-0.00035494,-0.00000012
85,-0.00001268,0.00011100,-0.00000012
86,-0.00223073,-0.00457285,-0.00001270
87,-0.00496976,-0.00457829,-0.00002474
88,-0.00891436,-0.00572833,-0.00006312
89,-0.00839438,-0.00914783,-0.00007915
90,-0.00798330,-0.00967578,-0.00008047
91,-0.00819793,-0.00995290,-0.00008518
92,-0.00738561,-0.00883167,-0.00006765
93,-0.00704703,-0.00843178,-0.00006163
94,-0.00765163,-0.00935001,-0.00007463
95,-0.00830943,-0.01007865,-0.00008756
96,-0.00972240,-0.01000827,-0.00010151
97,-0.00698715,-0.00723459,-0.00005329
98,-0.00716551,-0.00714299,-0.00005525
99,-0.00599807,-0.00507829,-0.00003588
100,-0.00509488,-0.00376893,-0.00002569
101,-0.00275704,-0.00275516,-0.00001049
102,-0.00282533,-0.00283676,-0.00001085
103,-0.00342947,-0.00343435,-0.00001538
104,-0.00445042,-0.00349588,-0.00002050
105,-0.00409496,-0.00453982,-0.00002235
106,-0.00583849,-0.00146398,-0.00003606
107,-0.00719543,-0.00466989,-0.00004989
108,-0.00945959,-0.00686414,-0.00008100
