frame,dx,dy,dz
0,0.00000000,0.00000000,0.00000000
1,-0.00017638,-0.00006976,0.00000006
2,-0.00014278,-0.00005844,0.00000006
3,-0.00011148,-0.00005654,0.00000006
4,-0.00009132,-0.00005727,0.00000006
5,0.00010561,0.00092292,-0.00000089
6,0.00006991,0.00105471,-0.00000101
7,0.00006775,0.00105630,-0.00000095
8,0.00006083,0.00106957,-0.00000095
9,0.00006111,0.00110349,-0.00000095
10,0.00004419,0.00117858,-0.00000101
11,0.00005458,0.00120005,-0.00000101
12,0.00007850,0.00119980,-0.00000095
13,0.00010729,0.00119157,-0.00000095
14,0.00014388,0.00119267,-0.00000095
15,0.00018384,0.00118895,-0.00000101
16,0.00022784,0.00118999,-0.00000107
17,0.00027765,0.00119014,-0.00000107
18,0.00032937,0.00119588,-0.00000113
19,0.00037771,0.00119452,-0.00000113
20,0.00042064,0.00118941,-0.00000119
21,0.00046163,0.00118129,-0.00000125
22,0.00050252,0.00117606,-0.00000125
23,0.00054598,0.00117191,-0.00000131
24,0.00058914,0.00117161,-0.00000143
25,0.00063099,0.00117290,-0.00000143
26,0.00067381,0.00116355,-0.00000155
27,0.00071462,0.00115548,-0.00000161
28,0.00075749,0.00115262,-0.00000173
29,0.00079958,0.00114367,-0.00000185
30,0.00084146,0.00114116,-0.00000191
31,0.00088198,0.00112747,-0.00000203
32,0.00091584,0.00112254,-0.00000215
33,0.00095169,0.00110658,-0.00000226
34,0.00098389,0.00109057,-0.00000226
35,0.00101895,0.00108573,-0.00000244
36,0.00105423,0.00107358,-0.00000256
37,0.00108962,0.00106088,-0.00000274
38,0.00112533,0.00104715,-0.00000280
39,0.00116295,0.00104013,-0.00000298
40,0.00120454,0.00103216,-0.00000322
41,0.00124639,0.00103001,-0.00000340
42,0.00128473,0.00105152,-0.00000364
43,0.00132419,0.00107031,-0.00000381
44,0.00136487,0.00108392,-0.00000399
45,0.00140500,0.00110062,-0.00000423
46,0.00144118,0.00111950,-0.00000441
47,0.00147765,0.00115524,-0.00000465
48,0.00151636,0.00118321,-0.00000483
49,0.00155390,0.00120636,-0.00000507
50,0.00159060,0.00122290,-0.00000525
51,0.00162670,0.00124467,-0.00000548
52,0.00165972,0.00125782,-0.00000572
53,0.00168842,0.00126876,-0.00000590
54,0.00172113,0.00126784,-0.00000614
55,0.00175139,0.00126486,-0.00000632
56,0.00178518,0.00127011,-0.00000662
57,0.00182102,0.00128032,-0.00000679
58,0.00185753,0.00128071,-0.00000709
59,0.00189144,0.00127799,-0.00000727
60,0.00193046,0.00128074,-0.00000763
61,0.00197312,0.00128610,-0.00000787
62,0.00202050,0.00128025,-0.00000829
63,0.00207624,0.00128226,-0.00000858
64,0.00212673,0.00129105,-0.00000888
65,0.00218169,0.00130569,-0.00000912
66,0.00223017,0.00134267,-0.00000936
67,0.00228118,0.00138341,-0.00000972
68,0.00233463,0.00140799,-0.00001007
69,0.00237938,0.00142339,-0.00001043
70,0.00241985,0.00144642,-0.00001079
71,0.00244874,0.00147730,-0.00001109
72,0.00247984,0.00149531,-0.00001138
73,0.00250880,0.00152851,-0.00001168
74,0.00254016,0.00155531,-0.00001192
75,0.00257580,0.00159316,-0.00001222
76,0.00261058,0.00161451,-0.00001264
77,0.00264425,0.00161934,-0.00001299
78,0.00267919,0.00163103,-0.00001335
79,0.00272195,0.00164032,-0.00001371
80,0.00277088,0.00163529,-0.00001407
81,0.00282025,0.00161766,-0.00001454
82,0.00286649,0.00161509,-0.00001490
83,0.00290875,0.00160324,-0.00001538
84,0.00294683,0.00158449,-0.00001585
85,0.00298857,0.00155117,-0.00001627
86,0.00303387,0.00150480,-0.00001681
87,0.00307908,0.00148019,-0.00001729
88,0.00312095,0.00148680,-0.00001776
89,0.00316362,0.00150037,-0.00001824
90,0.00320052,0.00152643,-0.00001866
91,0.00324448,0.00154323,-0.00001907
92,0.00328916,0.00154084,-0.00001961
93,0.00334442,0.00150721,-0.00002021
94,0.00339746,0.00149480,-0.00002086
95,0.00344119,0.00149269,-0.00002134
96,0.00349592,0.00146857,-0.00002182
97,0.00359263,0.00138917,-0.00002253
98,0.00369046,0.00134861,-0.00002325
99,0.00374530,0.00136581,-0.00002378
