frame,dx,dy,dz
0,0.00000000,0.00000000,0.00000000
1,-0.00006470,0.00007237,0.00000000
2,-0.00006149,0.00008039,0.00000000
3,-0.00001342,0.00007956,0.00000000
4,0.00001730,0.00007597,0.00000000
5,0.00000233,0.00026363,-0.00000006
6,0.00017251,0.00009953,-0.00000012
7,0.00018636,0.00009360,-0.00000012
8,0.00023370,0.00003814,-0.00000018
9,0.00027798,-0.00002638,-0.00000018
10,0.00031151,-0.00008749,-0.00000018
11,0.00035279,-0.00016540,-0.00000024
12,0.00039003,-0.00025071,-0.00000036
13,0.00042862,-0.00034470,-0.00000036
14,0.00046906,-0.00044951,-0.00000048
15,0.00050865,-0.00055845,-0.00000054
16,0.00054997,-0.00066603,-0.00000072
17,0.00059966,-0.00077259,-0.00000083
18,0.00064776,-0.00087645,-0.00000101
19,0.00069902,-0.00099772,-0.00000125
20,0.00075840,-0.00111682,-0.00000149
21,0.00081947,-0.00123968,-0.00000173
22,0.00087565,-0.00135559,-0.00000197
23,0.00091974,-0.00145133,-0.00000221
24,0.00096587,-0.00151810,-0.00000244
25,0.00099967,-0.00157129,-0.00000262
26,0.00103949,-0.00160096,-0.00000268
27,0.00106366,-0.00162378,-0.00000286
28,0.00107768,-0.00166441,-0.00000304
29,0.00106960,-0.00171544,-0.00000310
30,0.00105270,-0.00174773,-0.00000328
31,0.00105074,-0.00178382,-0.00000352
32,0.00105713,-0.00181300,-0.00000364
33,0.00108687,-0.00185716,-0.00000376
34,0.00111601,-0.00193233,-0.00000387
35,0.00113452,-0.00198633,-0.00000405
36,0.00119035,-0.00203480,-0.00000417
37,0.00123779,-0.00206707,-0.00000429
38,0.00124295,-0.00210218,-0.00000435
39,0.00120421,-0.00206791,-0.00000417
40,0.00107918,-0.00196110,-0.00000376
41,0.00090276,-0.00161713,-0.00000280
42,0.00078564,-0.00144135,-0.00000232
43,0.00069562,-0.00130292,-0.00000209
44,0.00063981,-0.00122461,-0.00000191
45,0.00060679,-0.00115938,-0.00000179
46,0.00054860,-0.00107819,-0.00000173
47,0.00045626,-0.00104770,-0.00000167
48,0.00027827,-0.00112252,-0.00000173
49,0.00022322,-0.00119754,-0.00000179
50,0.00023973,-0.00126684,-0.00000179
51,0.00020648,-0.00125594,-0.00000173
52,0.00017600,-0.00129521,-0.00000173
53,0.00011162,-0.00134375,-0.00000179
54,0.00006411,-0.00138795,-0.00000179
55,0.00002406,-0.00139138,-0.00000179
56,0.00001088,-0.00136541,-0.00000167
57,-0.00001176,-0.00131965,-0.00000155
58,-0.00002168,-0.00124434,-0.00000143
59,-0.00002890,-0.00120926,-0.00000137
60,-0.00006654,-0.00115342,-0.00000125
61,-0.00011550,-0.00110033,-0.00000119
62,-0.00015785,-0.00106504,-0.00000113
63,-0.00023614,-0.00105984,-0.00000113
64,-0.00035659,-0.00105758,-0.00000113
65,-0.00044486,-0.00103679,-0.00000119
66,-0.00048959,-0.00096198,-0.00000113
67,-0.00054376,-0.00089285,-0.00000113
68,-0.00050811,-0.00082561,-0.00000095
69,-0.00046705,-0.00078322,-0.00000089
70,-0.00039587,-0.00079589,-0.00000083
71,-0.00034497,-0.00083344,-0.00000089
72,-0.00024877,-0.00095614,-0.00000095
73,-0.00020582,-0.00105833,-0.00000119
74,-0.00020798,-0.00112245,-0.00000137
75,-0.00021091,-0.00117133,-0.00000155
76,-0.00021551,-0.00116405,-0.00000161
77,-0.00026853,-0.00113879,-0.00000161
78,-0.00009872,-0.00132080,-0.00000185
79,-0.00006038,-0.00144005,-0.00000203
80,-0.00003296,-0.00165095,-0.00000256
81,0.00011715,-0.00193038,-0.00000316
82,0.00008360,-0.00207972,-0.00000358
83,-0.00013861,-0.00200218,-0.00000352
84,-0.00043248,-0.00184963,-0.00000334
85,-0.00086175,-0.00151072,-0.00000286
86,-0.00087501,-0.00167783,-0.00000316
87,-0.00058894,-0.00211485,-0.00000429
88,-0.00021923,-0.00271755,-0.00000614
89,-0.00014843,-0.00275737,-0.00000638
90,-0.00002988,-0.00283146,-0.00000674
91,0.00008241,-0.00291748,-0.00000703
92,0.00008964,-0.00286802,-0.00000691
93,0.00011883,-0.00286352,-0.00000697
94,0.00022101,-0.00288752,-0.00000715
95,0.00053063,-0.00358471,-0.00001007
96,0.00107847,-0.00474541,-0.00001633
97,0.00174784,-0.00607848,-0.00002593
98,0.00240871,-0.00723003,-0.00003648
99,0.00254946,-0.00732771,-0.00003761
100,0.00256677,-0.00723811,-0.00003690
101,0.00255342,-0.00707995,-0.00003535
102,0.00244166,-0.00676351,-0.00003219
103,0.00239328,-0.00671873,-0.00003165
104,0.00247868,-0.00703530,-0.00003439
105,0.00239862,-0.00703293,-0.00003415
106,0.00230283,-0.00693404,-0.00003308
107,0.00214977,-0.00685626,-0.00003219
108,0.00187091,-0.00653462,-0.00002933
109,0.00140881,-0.00623056,-0.00002700
110,0.00074717,-0.00566364,-0.00002229
111,0.00164216,-0.00662854,-0.00002974
112,0.00238127,-0.00732030,-0.00003654
113,0.00257972,-0.00732188,-0.00003630
114,0.00243491,-0.00647211,-0.00002831
115,0.00196245,-0.00447250,-0.00001377
116,0.00169616,-0.00358503,-0.00000894
117,-0.00591130,-0.01284068,-0.00015712
118,-0.00602781,-0.01264098,-0.00015509
119,-0.00609389,-0.01246332,-0.00015271
120,-0.01614610,-0.01551830,-0.00040150
121,-0.01608746,-0.01582001,-0.00040776
122,-0.01614795,-0.01591469,-0.00041366
123,-0.02971618,-0.00254209,-0.00063145
124,-0.02868377,-0.00719623,-0.00065947
125,-0.03811219,-0.01192616,-0.00117725
126,-0.03815908,-0.01185588,-0.00117785
127,-0.04943018,-0.00477798,-0.00169444
128,-0.04951693,-0.00444339,-0.00169379
129,-0.06016919,-0.00482657,-0.00249636
130,-0.05940123,-0.00839213,-0.00251245
