frame,dx,dy,dz,dist_2d,dist_3d
0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.00067737,-0.00009924,0.00000012,0.00068460,0.00068460
2,0.00071761,-0.00002509,0.00000012,0.00071805,0.00071805
3,0.00020053,-0.00034862,-0.00000012,0.00040218,0.00040218
4,0.00786652,-0.00051861,-0.00003862,0.00788360,0.00788369
5,0.00793737,-0.00054498,-0.00003970,0.00795605,0.00795615
6,0.01401999,-0.00148281,-0.00014120,0.01409819,0.01409889
7,0.01398626,-0.00129439,-0.00015080,0.01404603,0.01404684
8,0.02193458,-0.00140308,-0.00028211,0.02197941,0.02198122
9,0.02372041,-0.00377228,-0.00028384,0.02401850,0.02402017
10,0.02293862,-0.00380174,-0.00026894,0.02325153,0.02325308
11,0.03050776,-0.00461845,-0.00046569,0.03085536,0.03085888
12,0.03691414,-0.00478939,-0.00068742,0.03722354,0.03722989
13,0.03703629,-0.00482874,-0.00070173,0.03734975,0.03735634
14,0.04261239,-0.00466700,-0.00096828,0.04286719,0.04287813
15,0.04286008,-0.00447611,-0.00098133,0.04309318,0.04310435
16,0.05141288,-0.00449592,-0.00138772,0.05160909,0.05162774
17,0.05779044,-0.00406209,-0.00177592,0.05793303,0.05796024
18,0.05775784,-0.00383274,-0.00178570,0.05788487,0.05791241
19,0.06108286,-0.00277005,-0.00212312,0.06114563,0.06118248
20,0.06302482,-0.00206224,-0.00227797,0.06305855,0.06309968
21,0.06792178,-0.00086116,-0.00277531,0.06792724,0.06798391
22,0.07570896,0.00133982,-0.00363523,0.07572082,0.07580803
23,0.07499268,0.00141293,-0.00359708,0.07500599,0.07509219
24,0.08081445,0.00226217,-0.00424790,0.08084611,0.08095763
25,0.08081444,0.00230995,-0.00425762,0.08084744,0.08095947
26,0.08753593,0.00470834,-0.00534797,0.08766247,0.08782545
27,0.09254890,0.00537526,-0.00604707,0.09270487,0.09290188
28,0.09288786,0.00553841,-0.00611842,0.09305282,0.09325376
29,0.09969687,0.00578022,-0.00694400,0.09986429,0.10010542
30,0.09971689,0.00607441,-0.00698996,0.09990174,0.10014598
31,0.10477465,0.00672706,-0.00770497,0.10499039,0.10527273
32,0.11206979,0.00677004,-0.00898743,0.11227409,0.11263324
33,0.11192347,0.00677519,-0.00898856,0.11212835,0.11248805
34,0.11535437,0.00568591,-0.00931805,0.11549442,0.11586970
35,0.11526582,0.00576383,-0.00931555,0.11540984,0.11578520
36,0.11521012,0.00626600,-0.00927192,0.11538039,0.11575234
37,0.11255726,0.00535709,-0.00908029,0.11268467,0.11304993
38,0.11354412,0.00538862,-0.00918901,0.11367192,0.11404272
39,0.10822769,0.00768057,-0.00885499,0.10849988,0.10886062
40,0.11289351,0.01015454,-0.00954461,0.11334928,0.11375043
41,0.11220992,0.01032596,-0.00963861,0.11268403,0.11309551
42,0.11835057,0.01159281,-0.01012802,0.11891699,0.11934750
43,0.11608508,0.01145197,-0.01002187,0.11664858,0.11707831
44,0.12141899,0.01296223,-0.01104283,0.12210893,0.12260724
45,0.12196358,0.01283718,-0.01107776,0.12263731,0.12313661
46,0.12847527,0.01310646,-0.01122284,0.12914207,0.12962880
47,0.13072876,0.01318361,-0.01161742,0.13139184,0.13190444
48,0.13038348,0.01318146,-0.01155919,0.13104810,0.13155690
49,0.12737077,0.01305880,-0.01131326,0.12803845,0.12853729
50,0.12106769,0.01276760,-0.00986081,0.12173905,0.12213776
51,0.12055528,0.01270310,-0.00980246,0.12122271,0.12161839
52,0.10734391,0.01064383,-0.00759739,0.10787032,0.10813754
53,0.10764003,0.01058898,-0.00763524,0.10815962,0.10842877
54,0.09732212,0.01070742,-0.00660342,0.09790937,0.09813180
55,0.10202880,0.01154837,-0.00745326,0.10268028,0.10295043
56,0.10140103,0.01130047,-0.00746340,0.10202877,0.10230138
57,0.10655522,0.01153804,-0.00821811,0.10717808,0.10749269
58,0.10667130,0.01147319,-0.00821853,0.10728653,0.10760085
59,0.11129269,0.01108816,-0.00888872,0.11184369,0.11219634
60,0.12220843,0.01171328,-0.01055431,0.12276849,0.12322133
61,0.12203420,0.01143185,-0.01058686,0.12256848,0.12302485
62,0.12723929,0.00769499,-0.01113653,0.12747177,0.12795731
63,0.12733824,0.00747764,-0.01120967,0.12755760,0.12804920
64,0.13902656,0.00369228,-0.01486546,0.13907558,0.13986779
65,0.14318603,0.00236421,-0.01587212,0.14320554,0.14408245
66,0.14346502,0.00232241,-0.01593482,0.14348382,0.14436594
67,0.14787033,0.00191136,-0.01651132,0.14788268,0.14880158
68,0.14793403,0.00188723,-0.01658815,0.14794607,0.14887312
69,0.15248228,0.00120621,-0.01722473,0.15248705,0.15345681
70,0.15655462,0.00093198,-0.01764917,0.15655739,0.15754907
71,0.15626051,0.00087580,-0.01763088,0.15626297,0.15725445
72,0.16111565,-0.00118107,-0.01827264,0.16111998,0.16215282
73,0.16090486,-0.00115088,-0.01832604,0.16090898,0.16194920
74,0.16660572,-0.00233513,-0.01929206,0.16662208,0.16773521
75,0.16739591,-0.00341501,-0.01907790,0.16743074,0.16851415
76,0.16729605,-0.00329851,-0.01912498,0.16732856,0.16841797
77,0.16980275,-0.00448741,-0.01944458,0.16986203,0.17097135
78,0.17020316,-0.00448391,-0.01950431,0.17026221,0.17137572
79,0.16864554,-0.00418744,-0.01942718,0.16869752,0.16981245
80,0.16724000,-0.00441237,-0.01953799,0.16729820,0.16843521
81,0.16816109,-0.00429803,-0.01977736,0.16821600,0.16937464
82,0.16738100,-0.00414978,-0.01967674,0.16743243,0.16858468
83,0.16798028,-0.00436825,-0.01975250,0.16803706,0.16919402
84,0.16899247,-0.00372754,-0.02041590,0.16903357,0.17026203
85,0.16920016,-0.00213958,-0.01980031,0.16921369,0.17036820
86,0.16929580,-0.00210162,-0.01989096,0.16930884,0.17047326
87,0.16463497,-0.00102575,-0.01905161,0.16463816,0.16573680
88,0.16688462,-0.00087479,-0.01952749,0.16688692,0.16802549
89,0.16414502,-0.00122116,-0.01909208,0.16414956,0.16525612
90,0.16329416,-0.00048693,-0.01902121,0.16329489,0.16439898
91,0.16290297,-0.00028742,-0.01897764,0.16290323,0.16400492
92,0.17171576,0.00126774,-0.02095610,0.17172044,0.17299441
93,0.17188963,0.00127919,-0.02098495,0.17189439,0.17317057
94,0.17523757,0.00057434,-0.02166855,0.17523852,0.17657311
95,0.17314435,0.00013583,-0.02139211,0.17314440,0.17446090
96,0.17445951,0.00014380,-0.02150655,0.17445957,0.17578018
97,0.17486162,-0.00026417,-0.02162558,0.17486182,0.17619399
98,0.17532740,-0.00164672,-0.02175665,0.17533513,0.17667982
99,0.17539165,-0.00164441,-0.02176505,0.17539936,0.17674460
