frame,dx,dy,dz,dist_2d,dist_3d
0,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.109354,-0.016021,0.000019,0.110522,0.110522
2,0.115851,-0.004051,0.000019,0.115921,0.115921
3,0.032373,-0.056281,-0.000019,0.064928,0.064928
4,1.269967,-0.083724,-0.006235,1.272724,1.272739
5,1.281405,-0.087981,-0.006409,1.284422,1.284438
6,2.263380,-0.239384,-0.022795,2.276004,2.276118
7,2.257935,-0.208966,-0.024345,2.267584,2.267714
8,3.541108,-0.226513,-0.045544,3.548345,3.548637
9,3.829411,-0.608995,-0.045823,3.877533,3.877804
10,3.703199,-0.613751,-0.043418,3.753715,3.753966
11,4.925157,-0.745600,-0.075181,4.981275,4.981842
12,5.959400,-0.773197,-0.110977,6.009350,6.010374
13,5.979120,-0.779549,-0.113287,6.029724,6.030788
14,6.879323,-0.753438,-0.156319,6.920459,6.922224
15,6.919310,-0.722621,-0.158425,6.956941,6.958745
16,8.300070,-0.725819,-0.224033,8.331745,8.334756
17,9.329660,-0.655782,-0.286704,9.352679,9.357072
18,9.324397,-0.618756,-0.288283,9.344904,9.349350
19,9.861186,-0.447195,-0.342755,9.871321,9.877270
20,10.174695,-0.332927,-0.367754,10.180141,10.186781
21,10.965258,-0.139025,-0.448045,10.966139,10.975288
22,12.222416,0.216300,-0.586870,12.224330,12.238409
23,12.106781,0.228103,-0.580711,12.108929,12.122846
24,13.046644,0.365204,-0.685779,13.051755,13.069759
25,13.046643,0.372917,-0.687348,13.051971,13.070057
26,14.131757,0.760112,-0.863374,14.152184,14.178495
27,14.941048,0.867779,-0.976236,14.966227,14.998033
28,14.995769,0.894118,-0.987755,15.022402,15.054840
29,16.095013,0.933156,-1.121036,16.122041,16.160969
30,16.098245,0.980650,-1.128456,16.128086,16.167516
31,16.914767,1.086013,-1.243886,16.949595,16.995176
32,18.092491,1.092952,-1.450926,18.125473,18.183453
33,18.068869,1.093783,-1.451109,18.101944,18.160014
34,18.622752,0.917930,-1.504301,18.645361,18.705945
35,18.608456,0.930510,-1.503898,18.631706,18.692303
36,18.599464,1.011580,-1.496854,18.626952,18.686999
37,18.171188,0.864846,-1.465917,18.191757,18.250724
38,18.330506,0.869936,-1.483469,18.351137,18.411000
39,17.472224,1.239947,-1.429545,17.516166,17.574404
40,18.225472,1.639344,-1.540877,18.299051,18.363811
41,18.115113,1.667018,-1.556052,18.191654,18.258082
