frame,dx,dy,dz,dist_2d,dist_3d
0,0.000000,0.000000,0.000000,0.000000,0.000000
1,-0.116798,0.031164,0.000000,0.120884,0.120884
2,-0.128293,0.040544,0.000000,0.134547,0.134547
3,-0.111961,0.003396,0.000000,0.112013,0.112013
4,-0.128075,-0.013602,0.000000,0.128795,0.128795
5,-0.141807,0.008828,0.000000,0.142082,0.142082
6,-0.108985,-0.044119,0.000000,0.117576,0.117576
7,-0.093026,-0.087888,-0.000048,0.127978,0.127978
8,-0.107085,-0.073056,-0.000048,0.129632,0.129632
9,-0.170638,-0.017994,-0.000048,0.171584,0.171584
10,-0.216490,0.009983,-0.000071,0.216720,0.216720
11,-0.259962,0.059026,-0.000095,0.266579,0.266579
12,-0.285634,0.078675,-0.000095,0.296271,0.296271
13,-0.319782,0.105247,-0.000119,0.336656,0.336656
14,-0.349176,0.127630,-0.000143,0.371770,0.371770
15,-0.364154,0.140704,-0.000167,0.390392,0.390392
16,-0.366027,0.143410,-0.000190,0.393119,0.393119
17,-0.366753,0.145843,-0.000167,0.394687,0.394687
18,-0.364377,0.142422,-0.000190,0.391222,0.391222
19,-0.361167,0.134352,-0.000190,0.385346,0.385346
20,-0.358337,0.102065,-0.000167,0.372590,0.372590
21,-0.359314,0.064672,-0.000167,0.365087,0.365087
22,-0.357334,0.046241,-0.000143,0.360313,0.360313
23,-0.345628,-0.018673,-0.000167,0.346132,0.346132
24,-0.339692,-0.041869,-0.000143,0.342263,0.342263
25,-0.324619,-0.088027,-0.000167,0.336342,0.336342
26,-0.313655,-0.119183,-0.000167,0.335536,0.335536
27,-0.303998,-0.124265,-0.000190,0.328415,0.328415
28,-0.306148,-0.121127,-0.000167,0.329239,0.329239
29,-0.305743,-0.119500,-0.000167,0.328267,0.328267
30,-0.306569,-0.115350,-0.000190,0.327551,0.327552
31,-0.307600,-0.109076,-0.000167,0.326367,0.326367
32,-0.310461,-0.106351,-0.000143,0.328172,0.328172
33,-0.313544,-0.099522,-0.000167,0.328960,0.328960
34,-0.314457,-0.100161,-0.000167,0.330023,0.330023
35,-0.307037,-0.096435,-0.000143,0.321825,0.321825
36,-0.304521,-0.083944,-0.000143,0.315879,0.315880
37,-0.301260,-0.076988,-0.000143,0.310942,0.310942
38,-0.304676,-0.070806,-0.000143,0.312796,0.312796
39,-0.305553,-0.070053,-0.000143,0.313480,0.313480
40,-0.308398,-0.068565,-0.000143,0.315928,0.315928
41,-0.304704,-0.070041,-0.000143,0.312650,0.312650
42,-0.299764,-0.079147,-0.000143,0.310036,0.310037
43,-0.296109,-0.089555,-0.000143,0.309356,0.309356
44,-0.288047,-0.101776,-0.000143,0.305498,0.305498
45,-0.284119,-0.103771,-0.000143,0.302476,0.302476
46,-0.282734,-0.107021,-0.000167,0.302311,0.302311
47,-0.280091,-0.115969,-0.000143,0.303150,0.303150
48,-0.279635,-0.121631,-0.000143,0.304942,0.304942
49,-0.281428,-0.123488,-0.000167,0.307329,0.307329
50,-0.274417,-0.141784,-0.000167,0.308881,0.308881
51,-0.269822,-0.146668,-0.000190,0.307108,0.307109
52,-0.264843,-0.160607,-0.000190,0.309736,0.309736
53,-0.267779,-0.145168,-0.000190,0.304597,0.304597
54,-0.270382,-0.137566,-0.000167,0.303366,0.303366
55,-0.272231,-0.130043,-0.000167,0.301696,0.301697
56,-0.274834,-0.122476,-0.000167,0.300889,0.300889
57,-0.275635,-0.119540,-0.000167,0.300441,0.300441
58,-0.273350,-0.118476,-0.000143,0.297921,0.297921
59,-0.275266,-0.122198,-0.000167,0.301171,0.301171
60,-0.276076,-0.126269,-0.000167,0.303582,0.303582
61,-0.281786,-0.131316,-0.000190,0.310881,0.310881
62,-0.294443,-0.118516,-0.000190,0.317400,0.317400
63,-0.297141,-0.102847,-0.000167,0.314437,0.314437
64,-0.308061,-0.090269,-0.000167,0.321014,0.321014
65,-0.301593,-0.101879,-0.000167,0.318336,0.318336
66,-0.288888,-0.113334,-0.000167,0.310324,0.310324
67,-0.288947,-0.109057,-0.000190,0.308843,0.308843
68,-0.289217,-0.098558,-0.000143,0.305549,0.305549
69,-0.307378,-0.085864,-0.000167,0.319146,0.319146
70,-0.302982,-0.098474,-0.000167,0.318583,0.318583
71,-0.307041,-0.114818,-0.000190,0.327807,0.327807
72,-0.312005,-0.116508,-0.000190,0.333048,0.333048
73,-0.322226,-0.106057,-0.000190,0.339231,0.339231
74,-0.338589,-0.082289,-0.000167,0.348446,0.348446
75,-0.350180,-0.069453,-0.000190,0.357001,0.357001
76,-0.277992,-0.062609,-0.000119,0.284955,0.284955
77,-0.279548,-0.060839,-0.000143,0.286091,0.286091
78,-0.278488,-0.060240,-0.000119,0.284929,0.284929
79,-0.280980,-0.059117,-0.000119,0.287132,0.287132
80,-0.281829,-0.062692,-0.000143,0.288718,0.288718
81,-0.286269,-0.075988,-0.000119,0.296183,0.296183
82,-0.297082,-0.069136,-0.000119,0.305020,0.305020
83,-0.311124,-0.045099,-0.000119,0.314375,0.314376
84,-0.308156,-0.069961,-0.000143,0.315998,0.315998
