frame,x,y,z
0,0.000000,0.000000,-0.000000
1,-0.007246,0.014289,-0.109354
2,-0.001845,0.003606,-0.115851
3,-0.025376,0.050236,-0.032373
4,-0.032211,0.077531,-1.269967
5,-0.033976,0.081409,-1.281405
6,-0.087663,0.223919,-2.263380
7,-0.072555,0.197472,-2.257935
8,-0.061554,0.222696,-3.541108
9,-0.233874,0.564161,-3.829411
10,-0.238166,0.567320,-3.703199
11,-0.269308,0.699318,-4.925158
12,-0.249813,0.740096,-5.959400
13,-0.250618,0.746808,-5.979120
14,-0.200434,0.742920,-6.879323
15,-0.184650,0.716369,-6.919310
16,-0.127543,0.748824,-8.300070
17,-0.040014,0.714596,-9.329660
18,-0.021899,0.682265,-9.324397
19,0.104119,0.553737,-9.861186
20,0.177985,0.463039,-10.174695
21,0.337124,0.326220,-10.965258
22,0.621332,0.071752,-12.222417
23,0.621161,0.058440,-12.106781
24,0.776784,-0.016508,-13.046644
25,0.781665,-0.022684,-13.046643
26,1.113451,-0.288810,-14.131757
27,1.262751,-0.333974,-14.941048
28,1.284914,-0.352282,-14.995770
29,1.421471,-0.326987,-16.095013
30,1.449521,-0.366024,-16.098245
31,1.600074,-0.407974,-16.914767
32,1.787973,-0.320753,-18.092491
33,1.788511,-0.321413,-18.068869
34,1.756640,-0.140477,-18.622752
35,1.761956,-0.151885,-18.608456
36,1.792247,-0.227412,-18.599464
37,1.698435,-0.110420,-18.171188
38,1.716395,-0.107044,-18.330506
39,1.835214,-0.461583,-17.472224
40,2.114770,-0.767787,-18.225472
41,2.140799,-0.785637,-18.115113
42,2.303586,-0.932509,-19.106457
43,2.278034,-0.919949,-18.740717
44,2.535133,-1.063173,-19.601821
45,2.531057,-1.042612,-19.689739
46,2.571573,-1.070841,-20.740983
47,2.634041,-1.053216,-21.104786
48,2.625495,-1.057147,-21.049044
49,2.581129,-1.057388,-20.562673
50,2.350658,-1.121228,-19.545107
51,2.337553,-1.116186,-19.462384
52,1.869866,-0.980113,-17.329547
53,1.871324,-0.969454,-17.377353
54,1.731293,-1.061674,-15.711634
55,1.914986,-1.120932,-16.471478
56,1.898391,-1.084478,-16.370132
57,2.024429,-1.063733,-17.202221
58,2.019766,-1.054359,-17.220961
59,2.088278,-0.950071,-17.967036
60,2.373778,-0.918815,-19.729268
61,2.357969,-0.875897,-19.701140
62,2.164974,-0.297477,-20.541447
63,2.159680,-0.260835,-20.557422
64,2.410663,0.550819,-22.444378
65,2.458962,0.815483,-23.115881
66,2.464951,0.826072,-23.160921
67,2.518069,0.927285,-23.872112
68,2.527380,0.936357,-23.882396
69,2.569490,1.080842,-24.616663
70,2.610666,1.151267,-25.274100
71,2.603939,1.158029,-25.226619
72,2.546580,1.501115,-26.010430
73,2.556473,1.500655,-25.976400
74,2.609392,1.741638,-26.896744
75,2.499880,1.881621,-27.024312
76,2.515149,1.868266,-27.008191
77,2.474597,2.062834,-27.412871
78,2.483458,2.066681,-27.477513
79,2.493940,2.018349,-27.226052
80,2.493521,2.058827,-26.999142
81,2.536336,2.059789,-27.147842
82,2.532638,2.031101,-27.021905
83,2.527640,2.068095,-27.118652
84,2.669887,2.024107,-27.282060
85,2.696861,1.750484,-27.315589
86,2.712686,1.751618,-27.331029
87,2.670123,1.535476,-26.578587
88,2.749680,1.548390,-26.941770
89,2.661720,1.566578,-26.499490
90,2.704990,1.455632,-26.362128
91,2.713245,1.423715,-26.298974
92,3.111565,1.343765,-27.721706
93,3.116555,1.344217,-27.749776
94,3.163704,1.495560,-28.290266
95,3.091935,1.538602,-27.952337
96,3.109004,1.545789,-28.164656
97,3.096437,1.613237,-28.229573
98,3.014618,1.821973,-28.304768
99,3.015996,1.822252,-28.315140
