frame,x,y,z
0,0.000000,0.000000,-0.000000
1,-0.024011,0.000000,-0.109354
2,-0.006114,0.000000,-0.115851
3,-0.084087,0.000000,-0.032373
4,-0.106736,0.000000,-1.269967
5,-0.112585,0.000000,-1.281405
6,-0.290485,0.000000,-2.263380
7,-0.240423,0.000000,-2.257935
8,-0.203969,0.000000,-3.541108
9,-0.774979,0.000000,-3.829411
10,-0.789201,0.000000,-3.703199
11,-0.892395,0.000000,-4.925158
12,-0.827796,0.000000,-5.959400
13,-0.830463,0.000000,-5.979120
14,-0.664170,0.000000,-6.879323
15,-0.611867,0.000000,-6.919310
16,-0.422634,0.000000,-8.300070
17,-0.132593,0.000000,-9.329660
18,-0.072566,0.000000,-9.324397
19,0.345015,0.000000,-9.861186
20,0.589782,0.000000,-10.174695
21,1.117115,0.000000,-10.965258
22,2.058884,0.000000,-12.222417
23,2.058317,0.000000,-12.106781
24,2.573999,-0.000000,-13.046644
25,2.590173,-0.000000,-13.046643
26,3.689599,-0.000000,-14.131757
27,4.184329,-0.000000,-14.941048
28,4.257769,-0.000000,-14.995770
29,4.710273,-0.000000,-16.095013
30,4.803221,-0.000000,-16.098245
31,5.302103,-0.000000,-16.914767
32,5.924736,-0.000000,-18.092491
33,5.926519,-0.000000,-18.068869
34,5.820909,-0.000000,-18.622752
35,5.838525,-0.000000,-18.608456
36,5.938899,-0.000000,-18.599464
37,5.628038,-0.000000,-18.171188
38,5.687551,-0.000000,-18.330506
39,6.081277,-0.000000,-17.472224
40,7.007631,-0.000000,-18.225472
41,7.093882,-0.000000,-18.115113
42,7.633303,-0.000000,-19.106457
43,7.548632,-0.000000,-18.740717
44,8.400571,-0.000000,-19.601821
45,8.387064,-0.000000,-19.689739
46,8.521321,-0.000000,-20.740983
47,8.728319,-0.000000,-21.104786
48,8.700000,-0.000000,-21.049044
49,8.552986,-0.000000,-20.562673
50,7.789283,-0.000000,-19.545107
51,7.745858,-0.000000,-19.462384
52,6.196102,-0.000000,-17.329547
53,6.200933,-0.000000,-17.377353
54,5.736918,-0.000000,-15.711634
55,6.345614,-0.000000,-16.471478
56,6.290624,-0.000000,-16.370132
57,6.708271,-0.000000,-17.202221
58,6.692820,-0.000000,-17.220961
59,6.919845,-0.000000,-17.967036
60,7.865895,-0.000000,-19.729268
61,7.813510,-0.000000,-19.701140
62,7.173990,-0.000000,-20.541447
63,7.156447,-0.000000,-20.557422
64,7.988120,0.000000,-22.444378
65,8.148166,0.000000,-23.115881
66,8.168012,0.000000,-23.160921
67,8.344027,0.000000,-23.872112
68,8.374880,0.000000,-23.882396
69,8.514418,0.000000,-24.616663
70,8.650862,0.000000,-25.274100
71,8.628571,0.000000,-25.226619
72,8.438502,0.000000,-26.010430
73,8.471285,0.000000,-25.976400
74,8.646640,0.000000,-26.896744
75,8.283754,0.000000,-27.024312
76,8.334351,0.000000,-27.008191
77,8.199975,0.000000,-27.412871
78,8.229338,0.000000,-27.477513
79,8.264071,0.000000,-27.226052
80,8.262683,0.000000,-26.999142
81,8.404557,0.000000,-27.147842
82,8.392303,0.000000,-27.021905
83,8.375742,0.000000,-27.118652
84,8.847100,0.000000,-27.282060
85,8.936483,0.000000,-27.315589
86,8.988921,0.000000,-27.331029
87,8.847882,0.000000,-26.578587
88,9.111507,0.000000,-26.941770
89,8.820037,0.000000,-26.499490
90,8.963419,0.000000,-26.362128
91,8.990774,0.000000,-26.298974
92,10.310671,0.000000,-27.721706
93,10.327206,0.000000,-27.749776
94,10.483442,0.000000,-28.290266
95,10.245624,0.000000,-27.952337
96,10.302185,0.000000,-28.164656
97,10.260542,0.000000,-28.229573
98,9.989422,0.000000,-28.304768
99,9.993988,0.000000,-28.315140
