frame,x,y,z
0,0.000000,0.000000,-0.000000
1,-0.029444,0.058064,-0.444365
2,-0.007497,0.014653,-0.470766
3,-0.103117,0.204136,-0.131549
4,-0.130891,0.315051,-5.160572
5,-0.138063,0.330809,-5.207051
6,-0.356223,0.909906,-9.197354
7,-0.294831,0.802437,-9.175228
8,-0.250128,0.904936,-14.389464
9,-0.950358,2.292496,-15.560997
10,-0.967799,2.305332,-15.048128
11,-1.094346,2.841713,-20.013618
12,-1.015127,3.007416,-24.216310
13,-1.018398,3.034690,-24.296443
14,-0.814473,3.018891,-27.954462
15,-0.750334,2.911000,-28.116951
16,-0.518277,3.042883,-33.727736
17,-0.162599,2.903795,-37.911525
18,-0.088988,2.772417,-37.890138
19,0.423093,2.250137,-40.071406
20,0.723251,1.881581,-41.345365
21,1.369920,1.325611,-44.557856
22,2.524813,0.291568,-49.666383
23,2.524118,0.237474,-49.196490
24,3.156499,-0.067081,-53.015669
25,3.176334,-0.092178,-53.015665
26,4.524562,-1.173593,-57.425078
27,5.131250,-1.357119,-60.713671
28,5.221310,-1.431515,-60.936037
29,5.776216,-1.328727,-65.402864
30,5.890199,-1.487356,-65.415997
31,6.501978,-1.657822,-68.733974
32,7.265515,-1.303395,-73.519712
33,7.267701,-1.306077,-73.423723
34,7.138192,-0.570835,-75.674453
35,7.159793,-0.617192,-75.616361
36,7.282882,-0.924100,-75.579821
37,6.901673,-0.448697,-73.839501
38,6.974654,-0.434978,-74.486898
39,7.457481,-1.875665,-70.999227
40,8.593470,-3.119940,-74.060087
41,8.699240,-3.192474,-73.611638
42,9.360733,-3.789295,-77.640012
43,9.256901,-3.738257,-76.153810
44,10.301636,-4.320255,-79.652948
45,10.285073,-4.236704,-80.010207
46,10.449711,-4.351414,-84.281987
47,10.703553,-4.279794,-85.760319
48,10.668826,-4.295768,-85.533808
49,10.488543,-4.296747,-83.557416
50,9.552012,-4.556164,-79.422487
51,9.498760,-4.535676,-79.086339
52,7.598291,-3.982737,-70.419452
53,7.604216,-3.939423,-70.613714
54,7.035193,-4.314164,-63.844985
55,7.781638,-4.554961,-66.932647
56,7.714204,-4.406829,-66.520823
57,8.226365,-4.322530,-69.902057
58,8.207417,-4.284439,-69.978208
59,8.485819,-3.860659,-73.009920
60,9.645962,-3.733649,-80.170835
61,9.581721,-3.559250,-80.056535
62,8.797477,-1.208812,-83.471163
63,8.775964,-1.059916,-83.536078
64,9.795846,2.238280,-91.203815
65,9.992111,3.313755,-93.932500
66,10.016448,3.356784,-94.115523
67,10.232295,3.768067,-97.005482
68,10.270131,3.804932,-97.047271
69,10.441247,4.392054,-100.031001
70,10.608568,4.678229,-102.702528
71,10.581232,4.705707,-102.509586
72,10.348151,6.099853,-105.694640
73,10.388352,6.097984,-105.556358
74,10.603391,7.077230,-109.296220
75,10.158383,7.646058,-109.814599
76,10.220430,7.591789,-109.749090
77,10.055645,8.382426,-111.393527
78,10.091652,8.398058,-111.656203
79,10.134246,8.201659,-110.634379
80,10.132543,8.366143,-109.712319
81,10.306524,8.370052,-110.316569
82,10.291497,8.253477,-109.804818
83,10.271187,8.403804,-110.197954
84,10.849215,8.225057,-110.861970
85,10.958825,7.113176,-110.998217
86,11.023131,7.117784,-111.060958
87,10.850174,6.239481,-108.003374
88,11.173458,6.291958,-109.479185
89,10.816028,6.365865,-107.681959
90,10.991858,5.915031,-107.123782
91,11.025402,5.785335,-106.867153
92,12.643995,5.460454,-112.648493
93,12.664272,5.462291,-112.762557
94,12.855864,6.077280,-114.958864
95,12.564227,6.252184,-113.585673
96,12.633588,6.281388,-114.448442
97,12.582521,6.555467,-114.712235
98,12.250046,7.403675,-115.017794
99,12.255646,7.404809,-115.059941
