frame,x,y,z,qx,qy,qz,qw
0,0.0002358398342039436,-2.6536357836448587e-05,1.0,2.6102075935341418e-05,1.0877171916945372e-05,6.140842015156522e-05,3.6752036976395175e-05
1,-5.852452522958629e-05,5.2007111662533134e-05,1.0,1.5198772416624706e-05,-7.546706910943612e-05,8.152268856065348e-05,-4.728211206384003e-05
2,-8.749107655603439e-05,7.564811676274985e-05,1.0,3.043215474463068e-05,-7.721069414401427e-05,9.263933316105977e-05,-3.0449631594819948e-05
3,-4.6329685574164614e-05,-1.7979613403440453e-05,1.0,-2.8905005819979124e-06,-1.4065691175346728e-05,5.685328505933285e-05,7.308312342502177e-05
4,-8.69415671331808e-05,-6.0813679738203064e-05,1.0,2.5658651793492027e-05,2.5556175387464464e-05,8.208690269384533e-05,0.00014664791524410248
5,-0.00012154822616139427,-4.28279054176528e-06,1.0,4.0718441596254706e-05,1.3765017683908809e-05,7.505252870032564e-05,0.00011473052290966734
6,-3.882857708958909e-05,-0.0001377267180941999,1.0,2.1279694919940084e-05,6.53458118904382e-05,0.00015812065976206213,0.00020891289750579745
7,1.39093560846959e-06,-0.0002480400144122541,0.9999998807907104,5.872528618056094e-06,0.00012695671466644853,0.00019765252363868058,0.00040403116145171225
8,-3.40368460456375e-05,-0.0002106525789713487,0.9999998807907104,1.235390027432004e-05,0.00018719257786870003,0.00018789965542964637,0.0004969866713508964
9,-0.00019420581520535052,-7.188453309936449e-05,0.9999998807907104,4.8109439376275986e-05,0.00025236193323507905,0.0001132161050918512,0.000532830657903105
10,-0.0003097711596637964,-1.3794325468552415e-06,0.9999998211860657,8.741032070247456e-05,0.00030918579432182014,3.848064079647884e-05,0.0005677081062458456
11,-0.00041933023021556437,0.00012222008081153035,0.9999997615814209,0.00011471015750430524,0.00035128998570144176,-3.1784253224032e-05,0.0005667477380484343
12,-0.00048403325490653515,0.00017174861568491906,0.9999997615814209,0.00013941923680249602,0.00038132574991323054,-8.809403516352177e-05,0.0005723587819375098
13,-0.0005700916517525911,0.00023871597659308463,0.9999997019767761,0.00017391004075761884,0.00040823439485393465,-0.00015462293231394142,0.0005740828346461058
14,-0.0006441655568778515,0.0002951255883090198,0.9999996423721313,0.00020973444043193012,0.00044065341353416443,-0.00021296496561262757,0.0005904011195525527
15,-0.0006819175323471427,0.00032807656680233777,0.9999995827674866,0.00023173823137767613,0.0004743971803691238,-0.0002515138767194003,0.0006015539984218776
16,-0.0006866396870464087,0.0003348920145072043,0.9999995231628418,0.00023586822499055415,0.00048555288231000304,-0.0002636241842992604,0.0005999127752147615
17,-0.0006884743925184011,0.00034102180507034063,0.9999995827674866,0.0002393872564425692,0.0004930170834995806,-0.00027206589584238827,0.0005954510415904224
18,-0.0006824767333455384,0.0003324044810142368,0.9999995231628418,0.000243051748839207,0.000501927628647536,-0.0002819555811583996,0.000596678932197392
19,-0.0006743927951902151,0.0003120594483334571,0.9999995231628418,0.0002572347002569586,0.0005180916050449014,-0.0003132475249003619,0.0005997209809720516
20,-0.000667261891067028,0.00023069060989655554,0.9999995827674866,0.0002961279824376106,0.0005439859232865274,-0.000393965863622725,0.0006147155072540045
21,-0.0006697173812426627,0.0001364583586109802,0.9999995827674866,0.0003527289954945445,0.0005814945907332003,-0.000501594040542841,0.0006301942630670965
22,-0.000664727995172143,9.00024242582731e-05,0.9999996423721313,0.00037298761890269816,0.0006057310965843499,-0.0005525091546587646,0.0006462439778260887
23,-0.0006352263735607266,-7.359498704317957e-05,0.9999995827674866,0.00045712845167145133,0.000647848763037473,-0.0007107382407411933,0.0006422208971343935
24,-0.0006202724180184305,-0.00013205205323174596,0.9999996423721313,0.0004898938932456076,0.0006610721466131508,-0.0007623971323482692,0.000648476998321712
25,-0.0005822780076414347,-0.0002483887365087867,0.9999995827674866,0.0005278963362798095,0.0006831734790466726,-0.0008295381558127701,0.0006875604740343988
26,-0.0005546525353565812,-0.00032690796069800854,0.9999995827674866,0.0005748560652136803,0.0007208834867924452,-0.0009130345424637198,0.000719754199963063
27,-0.0005303127691149712,-0.0003397151886019856,0.9999995231628418,0.0005946502205915749,0.0007509960560128093,-0.0009689726284705102,0.0007346178172156215
28,-0.0005357268382795155,-0.0003318016533739865,0.9999995827674866,0.0006371907074935734,0.0008008888107724488,-0.0010630834149196744,0.0007431209087371826
29,-0.000534713442903012,-0.00032770688994787633,0.9999995827674866,0.0006705211126245558,0.0008387917769141495,-0.0011408015852794051,0.0007471299613825977
30,-0.0005367858102545142,-0.000317242433084175,0.9999995231628418,0.0006889411597512662,0.0008567034965381026,-0.0011814100435003638,0.0007424298673868179
31,-0.0005393948522396386,-0.0003014396643266082,0.9999995827674866,0.000689217820763588,0.0008533938089385629,-0.0011781062930822372,0.0007316478295251727
32,-0.000546604220289737,-0.00029456763877533376,0.9999996423721313,0.0007001651683822274,0.0008626004564575851,-0.0011971722124144435,0.0007285923347808421
33,-0.0005543736624531448,-0.00027735327603295445,0.9999995827674866,0.0006910631782375276,0.0008553925435990095,-0.0011675757123157382,0.0007224517758004367
34,-0.0005566750769503415,-0.0002789690042845905,0.9999995827674866,0.0007147102151066065,0.0008816250483505428,-0.001204509288072586,0.0007271971553564072
35,-0.0005379665526561439,-0.00026957577210851014,0.9999996423721313,0.000730380997993052,0.0009046348859556019,-0.0012328882003203034,0.0007238424732349813
36,-0.0005316275637596846,-0.00023809752019587904,0.9999996423721313,0.0007304709870368242,0.0009060827433131635,-0.0012302555842325091,0.0007040962809696794
37,-0.0005234067211858928,-0.00022056156012695283,0.9999996423721313,0.0007469150586985052,0.0009200319764204323,-0.001264401595108211,0.0006911532254889607
38,-0.0005320186028257012,-0.00020498917729128152,0.9999996423721313,0.0007547021959908307,0.000920990773010999,-0.0012754978379234672,0.000682085519656539
39,-0.0005342274671420455,-0.000203085714019835,0.9999996423721313,0.0007690170896239579,0.0009244589600712061,-0.001300592441111803,0.000676215102430433
40,-0.0005413971957750618,-0.00019933788280468434,0.9999996423721313,0.000775205553509295,0.0009202184155583382,-0.0013071264838799834,0.0006696567288599908
41,-0.0005320942145772278,-0.00020305454381741583,0.9999996423721313,0.0007927293190732598,0.000931530084926635,-0.0013423205818980932,0.000667936634272337
42,-0.0005196406273171306,-0.0002260073961224407,0.9999996423721313,0.0008169408538378775,0.0009511601529084146,-0.0013881963677704334,0.0006788733298890293
43,-0.0005104297888465226,-0.0002522323338780552,0.9999996423721313,0.0008506124140694737,0.0009843949228525162,-0.0014549215557053685,0.0006954460986889899
44,-0.000490108854137361,-0.00028303806902840734,0.9999996423721313,0.0009047739440575242,0.0010391997639089823,-0.0015681706136092544,0.0007164260605350137
45,-0.0004802147450391203,-0.0002880629908759147,0.9999996423721313,0.0009357289527542889,0.0010704603046178818,-0.0016235476359724998,0.0007199212559498847
46,-0.000476718443678692,-0.00029626095783896744,0.9999995827674866,0.0009533009142614901,0.0010837010340765119,-0.0016501231584697962,0.0007228089962154627
47,-0.0004700570134446025,-0.0003188056289218366,0.9999996423721313,0.0009715365013107657,0.0010985201224684715,-0.001680961111560464,0.0007332097156904638
48,-0.00046890840167179704,-0.0003330729086883366,0.9999996423721313,0.00098110968247056,0.0011068088933825493,-0.0016932787839323282,0.0007420775364153087
49,-0.00047343093319796026,-0.0003377544926479459,0.9999995827674866,0.0009791047777980566,0.001106921350583434,-0.0016802296740934253,0.0007523226668126881
50,-0.00045576144475489855,-0.0003838632255792618,0.9999995827674866,0.0009999989997595549,0.0011322523932904005,-0.0017155221430584788,0.0007707561599090695
51,-0.00044418402831070125,-0.0003961800248362124,0.9999995231628418,0.0010160000529140234,0.0011536296224221587,-0.0017424308462068439,0.0007741110748611391
52,-0.00043162572546862066,-0.00043130674748681486,0.9999995231628418,0.0010583852417767048,0.0012002664152532816,-0.0018273439491167665,0.0007883462239988148
53,-0.0004390269168652594,-0.0003923980693798512,0.9999995231628418,0.0011084666475653648,0.0012558144517242908,-0.001926525728777051,0.0007650938932783902
54,-0.000445590412709862,-0.00037323840660974383,0.9999995827674866,0.001094386330805719,0.001243020175024867,-0.0018736718920990825,0.0007558708894066513
55,-0.00045024981955066323,-0.00035428005503490567,0.9999995827674866,0.0010944020468741655,0.0012428006157279015,-0.0018647790420800447,0.0007449156837537885
56,-0.00045681200572289526,-0.0003352080238983035,0.9999995827674866,0.0010936708422377706,0.001239399891346693,-0.0018535447306931019,0.0007365297060459852
57,-0.00045882639824412763,-0.0003278100921306759,0.9999995827674866,0.0010830570245161653,0.001222602091729641,-0.0018201154889538884,0.0007326749619096518
58,-0.00045306814718060195,-0.00032512302277609706,0.9999996423721313,0.001092127407900989,0.0012263142270967364,-0.0018441195134073496,0.0007292548543773592
59,-0.0004578982770908624,-0.00033450842602178454,0.9999995827674866,0.0010897238971665502,0.0012164851650595665,-0.0018086194759234786,0.0007405630312860012
60,-0.0004599376698024571,-0.00034476330620236695,0.9999995827674866,0.0010972779709845781,0.0012136314762756228,-0.0018220051424577832,0.0007506937254220247
61,-0.00047432651626877487,-0.0003574881993699819,0.9999995231628418,0.0010745651088654995,0.001181126805022359,-0.0017653569811955094,0.0007673846557736397
62,-0.000506232026964426,-0.00032522776746191084,0.9999995231628418,0.0010296639520674944,0.0011285226792097092,-0.0016595027409493923,0.00076428207103163
63,-0.0005130319041199982,-0.0002857352374121547,0.9999995827674866,0.0010182794649153948,0.0011111266212537885,-0.001639928319491446,0.000745816738344729
64,-0.0005405457923188806,-0.00025403813924640417,0.9999995827674866,0.0009892648085951805,0.0010775187984108925,-0.0015860727289691567,0.0007359040318988264
65,-0.0005242457846179605,-0.0002832958707585931,0.9999995827674866,0.0010093642631545663,0.001096824649721384,-0.0016456132289022207,0.0007494266610592604
66,-0.0004922304069623351,-0.0003121639892924577,0.9999995827674866,0.0009822598658502102,0.0010921717621386051,-0.0016703072469681501,0.000764467113185674
67,-0.0004923774977214634,-0.00030138855800032616,0.9999995231628418,0.0010081304935738444,0.001109916833229363,-0.0017170036444440484,0.0007594976341351867
68,-0.0004930564318783581,-0.00027492528897710145,0.9999996423721313,0.0010048378026112914,0.0010991506278514862,-0.0016966548282653093,0.0007430351106449962
