frame,x,y,z,qx,qy,qz,qw
0,0.0000000000,0.0000000000,0.9729698376,0,0,0,1
1,0.0000304717,-0.0001039984,0.9678834379,0,0,0,1
2,-0.0001646318,-0.0002342164,0.9673549177,0,0,0,1
3,-0.0001663119,-0.0003195208,0.9690276117,0,0,0,1
4,-0.0001597089,-0.0002067966,0.9708404534,0,0,0,1
5,-0.0001228338,-0.0003026849,0.9697952066,0,0,0,1
6,0.0076525850,0.0086686634,0.9686988728,0,0,0,1
7,0.0153734210,0.0175748275,0.9686515751,0,0,0,1
8,0.0231181448,0.0263640758,0.9685753259,0,0,0,1
9,0.0306802087,0.0347387684,0.9682409807,0,0,0,1
10,0.0381626553,0.0427284609,0.9745632658,0,0,0,1
11,0.0455831648,0.0503859161,0.9705950221,0,0,0,1
12,0.0527660370,0.0574571316,0.9717735181,0,0,0,1
13,0.0598032638,0.0638818653,0.9690218451,0,0,0,1
14,0.0663995703,0.0695649828,0.9696280866,0,0,0,1
15,0.0728628999,0.0746634520,0.9685728920,0,0,0,1
16,0.0789121078,0.0787563252,0.9646965833,0,0,0,1
17,0.0849060466,0.0820916423,0.9672439814,0,0,0,1
18,0.0906006254,0.0844196412,0.9663787626,0,0,0,1
19,0.0957867261,0.0858791740,0.9655004324,0,0,0,1
20,0.1006754222,0.0863471178,0.9676092821,0,0,0,1
21,0.1052917684,0.0857659059,0.9726499114,0,0,0,1
22,0.1093706824,0.0843330476,0.9699111277,0,0,0,1
23,0.1132359171,0.0819397555,0.9725811275,0,0,0,1
24,0.1166204144,0.0785572644,0.9708219652,0,0,0,1
25,0.1195206935,0.0741771563,0.9715651177,0,0,0,1
26,0.1221163958,0.0691607038,0.9681982060,0,0,0,1
27,0.1242559024,0.0631751821,0.9710479019,0,0,0,1
28,0.1261732951,0.0562766004,0.9714574285,0,0,0,1
29,0.1275490694,0.0487096679,0.9688467054,0,0,0,1
30,0.1286141621,0.0406658635,0.9711190807,0,0,0,1
31,0.1291644909,0.0320938567,0.9711323755,0,0,0,1
32,0.1295201051,0.0230783304,0.9689008948,0,0,0,1
33,0.1293546654,0.0135641202,0.9677544631,0,0,0,1
34,0.1289536402,0.0038441877,0.9676317433,0,0,0,1
35,0.1281714077,-0.0059467381,0.9701730111,0,0,0,1
36,0.1270581546,-0.0160022200,0.9706540197,0,0,0,1
37,0.1254979623,-0.0259804684,0.9684149483,0,0,0,1
38,0.1238151263,-0.0357815972,0.9700531707,0,0,0,1
39,0.1215625257,-0.0454250726,0.9711410741,0,0,0,1
40,0.1192099295,-0.0546060313,0.9712363814,0,0,0,1
41,0.1164855306,-0.0635450408,0.9731037602,0,0,0,1
42,0.1136927086,-0.0719973921,0.9725539617,0,0,0,1
43,0.1105676367,-0.0797737988,0.9679974171,0,0,0,1
44,0.1071971510,-0.0869985918,0.9733671724,0,0,0,1
45,0.1038322557,-0.0933402788,0.9689380470,0,0,0,1
46,0.1002570571,-0.0988639698,0.9720897456,0,0,0,1
47,0.0964275914,-0.1033875227,0.9701359733,0,0,0,1
48,0.0922680006,-0.1069776591,0.9691757012,0,0,0,1
49,0.0880672490,-0.1096247803,0.9663846063,0,0,0,1
50,0.0838470820,-0.1114621398,0.9696568710,0,0,0,1
51,0.0794866206,-0.1121014915,0.9668812335,0,0,0,1
52,0.0747893378,-0.1118587141,0.9719345985,0,0,0,1
53,0.0701254068,-0.1106129411,0.9730335853,0,0,0,1
54,0.0654766505,-0.1083562774,0.9684061780,0,0,0,1
55,0.0608142670,-0.1049135069,0.9706039415,0,0,0,1
56,0.0560206127,-0.1006029936,0.9685492170,0,0,0,1
57,0.0512135902,-0.0953510738,0.9687430305,0,0,0,1
58,0.0462685480,-0.0892602578,0.9715489894,0,0,0,1
59,0.0414080377,-0.0821831316,0.9699229235,0,0,0,1
60,0.0362735807,-0.0744697630,0.9734792961,0,0,0,1
61,0.0312432125,-0.0660494152,0.9690355350,0,0,0,1
62,0.0264963647,-0.0571223410,0.9719986727,0,0,0,1
63,0.0218138795,-0.0476478339,0.9701948268,0,0,0,1
64,0.0170032296,-0.0377071031,0.9715915560,0,0,0,1
65,0.0120554408,-0.0273553200,0.9691056847,0,0,0,1
66,0.0070354356,-0.0167372340,0.9699008823,0,0,0,1
67,0.0020831796,-0.0058364732,0.9697690022,0,0,0,1
68,-0.0029130112,0.0050143398,0.9683278858,0,0,0,1
69,-0.0079202812,0.0160232115,0.9713241631,0,0,0,1
70,-0.0129914614,0.0265577259,0.9713004980,0,0,0,1
71,-0.0179332828,0.0367749279,0.9711871094,0,0,0,1
72,-0.0230271915,0.0467663607,0.9730739313,0,0,0,1
73,-0.0280293413,0.0563475051,0.9728986896,0,0,0,1
74,-0.0328410922,0.0651448751,0.9692501106,0,0,0,1
75,-0.0377548623,0.0735395300,0.9707461046,0,0,0,1
76,-0.0424994372,0.0811158475,0.9687527986,0,0,0,1
77,-0.0473973934,0.0879697505,0.9700467106,0,0,0,1
78,-0.0521955499,0.0942638107,0.9688005011,0,0,0,1
79,-0.0568384436,0.0995344785,0.9732401406,0,0,0,1
80,-0.0616016741,0.1037502065,0.9707273963,0,0,0,1
