frame,x,y,z,qx,qy,qz,qw
0,0.0003109133103862405,0.00020678542205132544,0.9999999403953552,-4.589413947542198e-05,-2.8171682060929015e-05,6.978258898016065e-05,-5.9397756558610126e-05
1,0.00013453280553221703,0.0001370247482554987,1.0,-8.641507520223968e-06,-7.299283879547147e-06,3.085189018747769e-05,-6.441392906708643e-05
2,0.00016813553520478308,0.00014834826288279146,1.0,-2.4847855456755497e-05,-2.376938755332958e-05,1.6454336218885146e-05,-0.00010312913218513131
3,0.00019943673396483064,0.00015024744789116085,1.0,-3.11154180963058e-05,-2.6782539862324484e-05,2.9298624212970026e-05,-0.00010609722812660038
4,0.00021959550213068724,0.0001495130854891613,1.0,-5.729736221837811e-05,-9.388824400957674e-05,8.601687295595184e-05,-0.0001160630417871289
5,0.00041652118670754135,0.0011297089513391256,0.9999990463256836,-0.009670778177678585,-0.007823371328413486,-0.023104801774024963,0.0007516710902564228
6,0.00038082487299107015,0.0012614974984899163,0.999998927116394,-0.13776732981204987,-0.1911332905292511,-0.2668699622154236,0.0006616896716877818
7,0.0003786645829677582,0.0012630857527256012,0.9999989867210388,-0.24678704142570496,-0.34307631850242615,-0.45146656036376953,0.0005711816484108567
8,0.00037174756289459765,0.0012763587292283773,0.9999989867210388,-0.3473723232746124,-0.48235341906547546,-0.6165658235549927,0.0004995370400138199
9,0.0003720229724422097,0.0013102717930451035,0.9999989867210388,-0.44081032276153564,-0.6207254528999329,-0.7765426635742188,0.00045120049617253244
10,0.00035510139423422515,0.001385361305437982,0.999998927116394,-0.5387511849403381,-0.7686910033226013,-0.9221372604370117,0.00039161249878816307
11,0.0003654898901004344,0.0014068386517465115,0.999998927116394,-0.6422467231750488,-0.9244992733001709,-1.0536165237426758,0.00034332493669353426
12,0.0003894173423759639,0.0014065835857763886,0.9999989867210388,-0.7521596550941467,-1.0826902389526367,-1.1784703731536865,0.0002925898297689855
13,0.00041819902253337204,0.0013983595417812467,0.9999989867210388,-0.8665653467178345,-1.2391034364700317,-1.3041341304779053,0.0002326092217117548
14,0.00045479589607566595,0.0013994519831612706,0.9999989867210388,-0.9832982420921326,-1.3931719064712524,-1.4315464496612549,0.00017239304725080729
15,0.0004947501001879573,0.001395739265717566,0.999998927116394,-1.0995640754699707,-1.5460680723190308,-1.5596740245819092,0.00010760591976577416
16,0.0005387540441006422,0.0013967753620818257,0.9999988675117493,-1.2179803848266602,-1.6989295482635498,-1.686432123184204,4.168918530922383e-05
17,0.000588566588703543,0.001396923908032477,0.9999988675117493,-1.3384989500045776,-1.8511064052581787,-1.8122498989105225,-2.727602441154886e-05
18,0.0006402819999493659,0.0014026622520759702,0.9999988079071045,-1.4609273672103882,-2.003345251083374,-1.936151385307312,-9.452230733586475e-05
19,0.0006886227056384087,0.001401302171871066,0.9999988079071045,-1.583678126335144,-2.1555261611938477,-2.0597290992736816,-0.00016059013432823122
20,0.000731556850951165,0.0013962003868073225,0.9999987483024597,-1.7075937986373901,-2.3071706295013428,-2.1818251609802246,-0.00022696801170241088
21,0.0007725386531092227,0.0013880741316825151,0.9999986886978149,-1.8319661617279053,-2.4576308727264404,-2.304413318634033,-0.0002980805584229529
22,0.000813433900475502,0.001382848946377635,0.9999986886978149,-1.956499695777893,-2.6060872077941895,-2.429412841796875,-0.00036143118632026017
23,0.0008568966877646744,0.001378697226755321,0.9999986290931702,-2.0840771198272705,-2.7543559074401855,-2.55188250541687,-0.0004300667205825448
24,0.0009000492282211781,0.0013783907052129507,0.9999985098838806,-2.209327220916748,-2.9028329849243164,-2.6758856773376465,-0.0005006198189221323
25,0.0009419049019925296,0.0013796902494505048,0.9999985098838806,-2.332740545272827,-3.0512149333953857,-2.8014111518859863,-0.0005692171398550272
26,0.0009847208857536316,0.0013703306904062629,0.9999983906745911,-2.456172466278076,-3.1997642517089844,-2.9261679649353027,-0.000639594451058656
27,0.0010255369124934077,0.0013622662518173456,0.9999983310699463,-2.5808372497558594,-3.3494701385498047,-3.0478711128234863,-0.0007108710124157369
28,0.0010684081353247166,0.0013594076735898852,0.9999982118606567,-2.706676483154297,-3.499260425567627,-3.1685049533843994,-0.0007811571122147143
29,0.001110491226427257,0.001350453239865601,0.9999980926513672,-2.8333253860473633,-3.649704694747925,-3.2880613803863525,-0.0008526146993972361
30,0.001152378274127841,0.0013479454210028052,0.9999980330467224,-2.9596641063690186,-3.8001537322998047,-3.4079837799072266,-0.0009251950541511178
31,0.0011928940657526255,0.001334254164248705,0.9999979138374329,-3.0849738121032715,-3.949881076812744,-3.5304372310638428,-0.0010005279909819365
32,0.0012267520651221275,0.0013293243246152997,0.9999977946281433,-3.209172248840332,-4.099808692932129,-3.6545560359954834,-0.00107009953353554
33,0.0012626072857528925,0.001313361106440425,0.9999976754188538,-3.3334834575653076,-4.2502031326293945,-3.77848482131958,-0.0011396753834560513
34,0.0012948042713105679,0.0012973551638424397,0.9999976754188538,-3.4557912349700928,-4.4006123542785645,-3.9043540954589844,-0.00121101806871593
35,0.0013298646081238985,0.0012925188057124615,0.9999974966049194,-3.5785775184631348,-4.551052093505859,-4.029284477233887,-0.0012805107980966568
36,0.0013651425251737237,0.0012803636491298676,0.9999973773956299,-3.7032339572906494,-4.701426029205322,-4.152137756347656,-0.0013570762239396572
37,0.0014005295233801007,0.0012676639016717672,0.9999971985816956,-3.8266963958740234,-4.851503372192383,-4.275639057159424,-0.0014317762106657028
38,0.001436245976947248,0.0012539391173049808,0.9999971389770508,-3.950078248977661,-5.000938892364502,-4.399890899658203,-0.001508381450548768
39,0.0014738605823367834,0.0012469161301851273,0.9999969601631165,-4.073581218719482,-5.150125503540039,-4.523808002471924,-0.0015854903031140566
40,0.0015154497232288122,0.001238949247635901,0.9999967217445374,-4.196767807006836,-5.299643516540527,-4.645909786224365,-0.001660932437516749
41,0.001557300565764308,0.0012368003372102976,0.999996542930603,-4.319873332977295,-5.449337005615234,-4.767941474914551,-0.001736061880365014
42,0.0015956433489918709,0.0012583098141476512,0.9999963045120239,-4.44230318069458,-5.598783016204834,-4.892016887664795,-0.0017992270877584815
43,0.0016350994119420648,0.0012770954053848982,0.9999961256980896,-4.564489364624023,-5.74828577041626,-5.016157627105713,-0.0018620265182107687
44,0.0016757880803197622,0.0012907071504741907,0.9999959468841553,-4.686086177825928,-5.897810459136963,-5.140179634094238,-0.001926182652823627
45,0.0017159183043986559,0.0013074013404548168,0.9999957084655762,-4.807931900024414,-6.047551155090332,-5.264588356018066,-0.0019853604026138783
46,0.0017520891269668937,0.001326281693764031,0.9999955296516418,-4.930142879486084,-6.197559356689453,-5.388539791107178,-0.0020434148609638214
47,0.0017885657725855708,0.001362025155685842,0.9999952912330627,-5.0516862869262695,-6.347537517547607,-5.513875961303711,-0.0020917518995702267
48,0.001827268861234188,0.0013899963814765215,0.9999951124191284,-5.173287391662598,-6.497504711151123,-5.639459133148193,-0.002143972087651491
49,0.001864812453277409,0.001413144520483911,0.9999948740005493,-5.294601917266846,-6.64725399017334,-5.765022277832031,-0.0021968528162688017
50,0.001901513314805925,0.0014296844601631165,0.999994695186615,-5.415256500244141,-6.7973127365112305,-5.8907365798950195,-0.0022558558266609907
51,0.0019376177806407213,0.0014514551730826497,0.9999944567680359,-5.535955905914307,-6.947626113891602,-6.017447471618652,-0.00230829487554729
52,0.0019706296734511852,0.001464606262743473,0.9999942183494568,-5.657066345214844,-7.098033905029297,-6.14389705657959,-0.0023655775003135204
53,0.0019993381574749947,0.0014755484880879521,0.9999940395355225,-5.778078079223633,-7.248523712158203,-6.270238876342773,-0.00241858814842999
54,0.0020320441108196974,0.00147462566383183,0.9999938011169434,-5.898921489715576,-7.398758888244629,-6.396834373474121,-0.0024815562646836042
55,0.002062304178252816,0.0014716428704559803,0.999993622303009,-6.020201683044434,-7.548940181732178,-6.523380756378174,-0.0025386183988302946
56,0.002096091629937291,0.0014768984401598573,0.9999933242797852,-6.14164400100708,-7.6990485191345215,-6.650415420532227,-0.002595057711005211
57,0.002131935441866517,0.001487100962549448,0.9999931454658508,-6.263530731201172,-7.848875999450684,-6.777660369873047,-0.002652806928381324
58,0.0021684460807591677,0.0014874981716275215,0.999992847442627,-6.386068344116211,-7.9980669021606445,-6.905086994171143,-0.002715850016102195
59,0.0022023494821041822,0.0014847732381895185,0.9999926686286926,-6.507853984832764,-8.147061347961426,-7.03355598449707,-0.0027861790731549263
60,0.002241371665149927,0.0014875304186716676,0.999992311000824,-6.630152702331543,-8.295881271362305,-7.161283493041992,-0.0028587812557816505
61,0.002284036949276924,0.0014928890159353614,0.9999920725822449,-6.7527971267700195,-8.444501876831055,-7.2890214920043945,-0.0029284844640642405
