frame,x,y,z,qx,qy,qz,qw
0,0.0000000000,0.0000000000,0.9737191099,0,0,0,1
1,-0.0003956485,-0.0001471147,0.9692135914,0,0,0,1
2,-0.0000275562,0.0000837269,0.9678787504,0,0,0,1
3,-0.0001541944,-0.0000452288,0.9658294458,0,0,0,1
4,0.0003226721,-0.0003136647,0.9699494840,0,0,0,1
5,0.0009354853,-0.0005776524,0.9693296637,0,0,0,1
6,0.0088905924,0.0077762540,0.9715395088,0,0,0,1
7,0.0179890886,0.0156473794,0.9717470175,0,0,0,1
8,0.0268573920,0.0233900085,0.9715385842,0,0,0,1
9,0.0359342219,0.0299865703,0.9681575705,0,0,0,1
10,0.0447023562,0.0377907532,0.9675136858,0,0,0,1
11,0.0532153993,0.0439368510,0.9691530100,0,0,0,1
12,0.0609223900,0.0498029006,0.9681802930,0,0,0,1
13,0.0695379231,0.0550363795,0.9702680102,0,0,0,1
14,0.0769358779,0.0599073799,0.9694000973,0,0,0,1
15,0.0836376497,0.0634367548,0.9714277420,0,0,0,1
16,0.0900930443,0.0665490919,0.9689476281,0,0,0,1
17,0.0957960907,0.0696019822,0.9662941738,0,0,0,1
18,0.1017674224,0.0710747078,0.9713701149,0,0,0,1
19,0.1075674030,0.0724371557,0.9751456129,0,0,0,1
20,0.1123177179,0.0723211208,0.9712766441,0,0,0,1
21,0.1165521394,0.0715771516,0.9668835962,0,0,0,1
22,0.1202743684,0.0694801168,0.9670240830,0,0,0,1
23,0.1239416096,0.0665635228,0.9732045038,0,0,0,1
24,0.1271324036,0.0627304417,0.9697255112,0,0,0,1
25,0.1295040857,0.0576483697,0.9699776741,0,0,0,1
26,0.1312827508,0.0528737719,0.9688501515,0,0,0,1
27,0.1326584610,0.0468398050,0.9719844790,0,0,0,1
28,0.1340097036,0.0406218102,0.9704204982,0,0,0,1
29,0.1343740267,0.0319965333,0.9675895108,0,0,0,1
30,0.1340918586,0.0236348153,0.9689942946,0,0,0,1
31,0.1335562516,0.0149283036,0.9694198746,0,0,0,1
32,0.1326090585,0.0060399379,0.9690492604,0,0,0,1
33,0.1321564744,-0.0034086520,0.9714848334,0,0,0,1
34,0.1302304955,-0.0122883904,0.9682545393,0,0,0,1
35,0.1285205950,-0.0215085624,0.9691400233,0,0,0,1
36,0.1260171143,-0.0311175354,0.9732850951,0,0,0,1
37,0.1235045864,-0.0403869596,0.9734788677,0,0,0,1
38,0.1206974502,-0.0499798738,0.9738023869,0,0,0,1
39,0.1170369297,-0.0590634814,0.9708367794,0,0,0,1
40,0.1135278885,-0.0678298100,0.9716790277,0,0,0,1
41,0.1090562969,-0.0763930315,0.9684044255,0,0,0,1
42,0.1055803188,-0.0840146123,0.9685996340,0,0,0,1
43,0.1009594037,-0.0912809202,0.9670226602,0,0,0,1
44,0.0969688391,-0.0980641060,0.9709953639,0,0,0,1
45,0.0924812765,-0.1033345036,0.9714364224,0,0,0,1
46,0.0879335733,-0.1083721719,0.9711947424,0,0,0,1
47,0.0828438662,-0.1128655401,0.9693469027,0,0,0,1
48,0.0782677470,-0.1154862459,0.9692439057,0,0,0,1
49,0.0741384391,-0.1181117165,0.9719080569,0,0,0,1
